portfolio,base,breadth_feature,low_quantile,high_quantile,low_threshold,high_threshold,low_scale,high_scale,target_vol,train_objective,train_annual_return,train_sharpe,train_max_drawdown,validation_annual_return,validation_sharpe,validation_max_drawdown,full_annual_return,full_sharpe,full_max_drawdown
sharpe_guarded_ml_growth_25_adv_20_lq0.30_hq0.60_ls0.70_hs1.30_tv0.35,sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,0.7,1.3,0.35,2.124266802008872,0.853897879536287,2.199276738851246,-0.24578951274963157,0.5314033009082315,1.4019807721973934,-0.28558115041924903,0.69687235632397,1.8148411198768362,-0.2855811504192495
sharpe_guarded_ml_growth_25_adv_20_lq0.30_hq0.60_ls0.70_hs1.30_tv0.30,sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,0.7,1.3,0.3,2.115529792099391,0.7448610773436661,2.179076009903376,-0.21251843327271813,0.4626035762882148,1.4004903854154154,-0.25945796425054257,0.607942628746148,1.8065587754608756,-0.2594579642505417
sharpe_guarded_ml_growth_25_adv_20_lq0.30_hq0.60_ls0.70_hs1.30_tv0.40,sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,0.7,1.3,0.4,2.111363059495397,0.9478375212333923,2.200149863882656,-0.2783543086339376,0.5920508240083175,1.4035808324049879,-0.3208376351336413,0.774132179763044,1.8145552358663048,-0.32083763513364094
sharpe_guarded_ml_growth_25_adv_20_lq0.40_hq0.60_ls0.70_hs1.30_tv0.30,sharpe_guarded_ml_growth_25,adv_20,0.4,0.6,0.4262295081967213,0.5081967213114754,0.7,1.3,0.3,2.108665020019137,0.7438454908613992,2.1749740639055157,-0.21507814205865883,0.4580245345724505,1.3856481285539446,-0.2542323942989655,0.605107519157462,1.7970427721480768,-0.25423239429896627
sharpe_guarded_ml_growth_25_adv_20_lq0.40_hq0.60_ls0.70_hs1.30_tv0.35,sharpe_guarded_ml_growth_25,adv_20,0.4,0.6,0.4262295081967213,0.5081967213114754,0.7,1.3,0.35,2.108251356836864,0.848990857246344,2.185766534120062,-0.24731334873246646,0.5256761470462459,1.386715341645486,-0.28073455103163103,0.6915218269845613,1.8004190200051837,-0.2807345510316306
sharpe_guarded_ml_growth_25_adv_20_lq0.40_hq0.60_ls0.70_hs1.30_tv0.40,sharpe_guarded_ml_growth_25,adv_20,0.4,0.6,0.4262295081967213,0.5081967213114754,0.7,1.3,0.4,2.0992471742131897,0.9419575341843147,2.1898276956994147,-0.27897202832308765,0.5832066908536104,1.3832058064642752,-0.31555493989342487,0.7666911231408449,1.7989523901452282,-0.31555493989342487
sharpe_guarded_ml_growth_25_adv_20_lq0.30_hq0.60_ls0.70_hs1.30_tv0.25,sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,0.7,1.3,0.25,2.0987047579190743,0.6274590663623663,2.1517838922575723,-0.17857094761097114,0.3883931257389275,1.3969914452719772,-0.2218356094713898,0.5120159731188265,1.7941741530835493,-0.22183560947138992
sharpe_guarded_ml_growth_25_adv_20_lq0.40_hq0.60_ls0.70_hs1.30_tv0.25,sharpe_guarded_ml_growth_25,adv_20,0.4,0.6,0.4262295081967213,0.5081967213114754,0.7,1.3,0.25,2.091906773593385,0.6268228875175108,2.1485071294993556,-0.18196493340947262,0.383968684570861,1.3794428459436445,-0.21941932062125147,0.5094657119599604,1.783789773149553,-0.21941932062125125
sharpe_guarded_ml_growth_25_pct_above_200_lq0.20_hq0.80_ls0.70_hs1.30_tv0.30,sharpe_guarded_ml_growth_25,pct_above_200,0.2,0.8,0.4262295081967213,0.6557377049180327,0.7,1.3,0.3,2.0739290832570583,0.7378739476773608,2.170917542119196,-0.2445632483976098,0.4088074809416551,1.2498179247784063,-0.2752399148725788,0.576877017909956,1.7270616231163969,-0.2752399148725788
sharpe_guarded_ml_growth_25_adv_20_lq0.40_hq0.60_ls0.70_hs1.15_tv0.30,sharpe_guarded_ml_growth_25,adv_20,0.4,0.6,0.4262295081967213,0.5081967213114754,0.7,1.15,0.3,2.072258642657536,0.7240135304711197,2.1480307138110213,-0.22057477724770935,0.4451206464192714,1.3569402433472775,-0.24103976064503174,0.5887270146952985,1.7685519088587482,-0.24103976064503185
