portfolio,expected_return,median_return,p05_return,p25_return,p75_return,p95_return,loss_probability
max_return_35_target,0.4799016886796875,0.40975456160232115,-0.23337759759667345,0.11034596610052838,0.7675902772147614,1.4354106338922255,0.16755
max_return_35_guarded,0.4458403361275117,0.3738978290944466,-0.22294204144083737,0.0958101961632048,0.7135044464793514,1.3572826370564173,0.17285
growth_30_target,0.4008466333749643,0.3483689251849019,-0.21019439802029907,0.0883381250693625,0.6502721446818422,1.194182946477413,0.1715
growth_30_guarded,0.374071683928232,0.31891803565671395,-0.19987335730782652,0.07932735605443086,0.6074662008518337,1.1280228568955852,0.17385
aggressive_vol_target_16,0.15159621704571088,0.1469966506799728,-0.10835024833795712,0.04159054778485677,0.25607529594270473,0.4255168110722163,0.17565
optimized_core,0.14063039132655297,0.13962760062353974,-0.10384982588504048,0.04091889876580429,0.24078770922517806,0.3852517651478195,0.17035
optimized_vol_target_12,0.12797481083201523,0.12289914365616017,-0.09507077868761837,0.03357353628503451,0.21931327442762644,0.3648893641200056,0.1763
deployable_guarded,0.12366007563322182,0.11873983656275777,-0.0880401365688839,0.030927138100786178,0.2108619451275921,0.34947281647434775,0.177
regime_switched_core,0.11132895548061283,0.1015761277047883,-0.153172890359185,-0.007063820826441414,0.21922673862688208,0.4117360536760495,0.26515
equal_weight_core,0.10113328621734598,0.10226282822477295,-0.1269555825414555,0.011139096256242043,0.19248490738744078,0.32762793429916165,0.22495
regime_switched_guarded,0.08679219474941847,0.07884294845974982,-0.13016395471060418,-0.009856462144391481,0.17646195744821463,0.32695463238465794,0.2769
