feature_set,forward_window,condition,observations,mean_return,median_return,hit_rate
income_price,fwd_12m_return,model_top_quintile,921,0.43882782870899967,0.3236858322268043,0.7861020629750272
price_only,fwd_12m_return,model_top_quintile,921,0.4359433991710071,0.3153677057822477,0.7828447339847991
full,fwd_12m_return,model_top_quintile,921,0.36271385840787396,0.2489209072195368,0.7372421281216069
income_only,fwd_12m_return,sales_growth_30pct_top_half,137,0.32358321836019244,0.1662394090844066,0.6861313868613139
growth_quality_price,fwd_12m_return,sales_growth_30pct_top_half,218,0.31173041416108194,0.1970531963007442,0.7155963302752294
growth_quality_price,fwd_12m_return,model_top_quintile,921,0.27671907621330116,0.1740338007304085,0.7090119435396308
full,fwd_12m_return,sales_growth_30pct_top_half,219,0.27521462678992764,0.1802501978048314,0.6894977168949772
income_price,fwd_12m_return,sales_growth_30pct_top_half,230,0.25465365380478383,0.1501655254577587,0.6782608695652174
price_only,fwd_12m_return,sales_growth_30pct_top_half,270,0.2348149978057236,0.1394432452358268,0.6518518518518519
full,fwd_12m_return,sales_growth_30pct,401,0.2129836012036181,0.1475371966126741,0.6583541147132169
growth_quality_price,fwd_12m_return,sales_growth_30pct,401,0.2129836012036181,0.1475371966126741,0.6583541147132169
income_only,fwd_12m_return,sales_growth_30pct,401,0.2129836012036181,0.1475371966126741,0.6583541147132169
income_price,fwd_12m_return,sales_growth_30pct,401,0.2129836012036181,0.1475371966126741,0.6583541147132169
price_only,fwd_12m_return,sales_growth_30pct,401,0.2129836012036181,0.1475371966126741,0.6583541147132169
income_only,fwd_12m_return,model_top_quintile,921,0.1952340040796138,0.0958954336256741,0.6373507057546145
price_only,fwd_3m_return,model_top_quintile,1025,0.06514890325247112,0.0579233278984192,0.6321951219512195
income_price,fwd_3m_return,model_top_quintile,1025,0.056362205158599646,0.0457524181547619,0.6136585365853658
full,fwd_3m_return,model_top_quintile,1025,0.05629961305179613,0.0351913464807009,0.584390243902439
growth_quality_price,fwd_3m_return,model_top_quintile,1025,0.05219311835483424,0.0338255735406485,0.5795121951219512
full,fwd_3m_return,sales_growth_30pct,441,0.03686222998177063,0.0208902826785182,0.5374149659863946
growth_quality_price,fwd_3m_return,sales_growth_30pct,441,0.03686222998177063,0.0208902826785182,0.5374149659863946
income_only,fwd_3m_return,sales_growth_30pct,441,0.03686222998177063,0.0208902826785182,0.5374149659863946
income_price,fwd_3m_return,sales_growth_30pct,441,0.03686222998177063,0.0208902826785182,0.5374149659863946
price_only,fwd_3m_return,sales_growth_30pct,441,0.03686222998177063,0.0208902826785182,0.5374149659863946
price_only,fwd_3m_return,sales_growth_30pct_top_half,288,0.02784856678117536,-0.00573238356001255,0.4895833333333333
income_price,fwd_3m_return,sales_growth_30pct_top_half,263,0.02174156340973174,-0.005953199315656,0.4866920152091255
full,fwd_3m_return,sales_growth_30pct_top_half,265,0.013033013237672076,-0.0055115678043691,0.49056603773584906
income_only,fwd_3m_return,sales_growth_30pct_top_half,254,0.009689486802739919,-0.00573238356001255,0.4881889763779528
growth_quality_price,fwd_3m_return,sales_growth_30pct_top_half,254,0.008862562802856532,-0.00595899599923775,0.48031496062992124
income_only,fwd_3m_return,model_top_quintile,1025,0.001160566636512506,-0.0081284246347088,0.4692682926829268
price_only,fwd_6m_return,model_top_quintile,1016,0.13777670746245818,0.09216123631070905,0.6309055118110236
income_price,fwd_6m_return,model_top_quintile,1016,0.1256171540628296,0.07840103933643015,0.6190944881889764
full,fwd_6m_return,model_top_quintile,1016,0.11668784535761666,0.059566214467247955,0.5885826771653543
growth_quality_price,fwd_6m_return,model_top_quintile,1016,0.10232965302620066,0.05313413976021455,0.5836614173228346
full,fwd_6m_return,sales_growth_30pct,440,0.08056751453320439,0.0543865698547304,0.5909090909090909
growth_quality_price,fwd_6m_return,sales_growth_30pct,440,0.08056751453320439,0.0543865698547304,0.5909090909090909
income_only,fwd_6m_return,sales_growth_30pct,440,0.08056751453320439,0.0543865698547304,0.5909090909090909
income_price,fwd_6m_return,sales_growth_30pct,440,0.08056751453320439,0.0543865698547304,0.5909090909090909
price_only,fwd_6m_return,sales_growth_30pct,440,0.08056751453320439,0.0543865698547304,0.5909090909090909
income_price,fwd_6m_return,sales_growth_30pct_top_half,242,0.06617930396186171,-0.021690788694373297,0.4793388429752066
price_only,fwd_6m_return,sales_growth_30pct_top_half,294,0.06447672574886666,0.00498961514197555,0.5102040816326531
full,fwd_6m_return,sales_growth_30pct_top_half,235,0.05700654179258071,-0.0205348755591678,0.4851063829787234
growth_quality_price,fwd_6m_return,sales_growth_30pct_top_half,226,0.04859316953201976,-0.03161363133199135,0.4778761061946903
income_only,fwd_6m_return,model_top_quintile,1016,0.024409861045786088,0.0067351562521582,0.5127952755905512
income_only,fwd_6m_return,sales_growth_30pct_top_half,212,0.012779215801594586,-0.039242906095832,0.45754716981132076
