feature_set,forward_window,observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
price_only,fwd_12m_return,4605,10,0.05105116452729119,0.230263566551483,0.227943465757226,0.4359433991710071,0.3153677057822477,0.7828447339847991,0.07268442737187722,0.3632589717991299
income_price,fwd_12m_return,4605,10,0.05364953975033915,0.23480848222617542,0.22293424370714524,0.43882782870899967,0.3236858322268043,0.7861020629750272,0.07522545638431095,0.3636023723246887
full,fwd_12m_return,4605,10,0.03630131942049075,0.20893526139813937,0.21174826604583608,0.36271385840787396,0.2489209072195368,0.7372421281216069,0.06293559590929847,0.2997782624985755
growth_quality_price,fwd_12m_return,4605,10,0.018264843414735554,0.1801765330615206,0.17437144893095594,0.27671907621330116,0.1740338007304085,0.7090119435396308,0.07643504699022119,0.20028402922307997
income_only,fwd_12m_return,4605,10,-0.0031424088942098027,0.060417438995716354,-0.006419656101221091,0.1952340040796138,0.0958954336256741,0.6373507057546145,0.14665837207176166,0.04857563200785214
price_only,fwd_3m_return,5122,12,-0.01999104226242987,0.04872311909194267,0.04682946119681778,0.06514890325247112,0.0579233278984192,0.6321951219512195,0.0297053025383666,0.03544360071410452
income_price,fwd_3m_return,5122,12,-0.04470447329494487,0.0032678770165693637,0.005365566262436915,0.056362205158599646,0.0457524181547619,0.6136585365853658,0.037561829428120704,0.018800375730478942
growth_quality_price,fwd_3m_return,5122,12,-0.05286596117141351,-0.0016667755438330488,-0.006800302206822891,0.05219311835483424,0.0338255735406485,0.5795121951219512,0.04946639028323118,0.0027267280716030615
full,fwd_3m_return,5122,12,-0.05314079701294938,0.00046827446559735946,-0.013268820952925536,0.05629961305179613,0.0351913464807009,0.584390243902439,0.04294116525069449,0.013358447801101639
income_only,fwd_3m_return,5122,12,-0.04135672106358723,-0.11254881635187694,-0.12889253155949768,0.001160566636512506,-0.0081284246347088,0.4692682926829268,0.05073256368201849,-0.04957199704550599
full,fwd_6m_return,5080,11,-0.042913096824327424,0.05013830178391781,-0.04774972745704032,0.11668784535761666,0.059566214467247955,0.5885826771653543,0.0902271262455511,0.02646071911206556
income_price,fwd_6m_return,5080,11,-0.041428064166859846,0.03724134746706828,-0.052351033213936686,0.1256171540628296,0.07840103933643015,0.6190944881889764,0.09058941775141226,0.035027736311417354
price_only,fwd_6m_return,5080,11,-0.027779314939823108,0.05547276382537597,-0.056369589275869846,0.13777670746245818,0.09216123631070905,0.6309055118110236,0.09242111684135368,0.0453555906211045
growth_quality_price,fwd_6m_return,5080,11,-0.0517488191535469,0.027661425864564184,-0.06307988255588222,0.10232965302620066,0.05313413976021455,0.5836614173228346,0.09282497364653179,0.009504679379668868
income_only,fwd_6m_return,5080,11,-0.042179015427209476,-0.08868879220922878,-0.12908006745536355,0.024409861045786088,0.0067351562521582,0.5127952755905512,0.09885544802009866,-0.07444558697431257
