symbol,fiscal_period_end,sales,gross_profit,operating_income,net_income,ebitda,cash_and_equivalents,total_current_assets,total_assets,total_current_liabilities,long_term_debt,total_equity,net_cash_from_operating_activities,property_and_equipment
A,2016-07-31,1044000000,542000000,146000000,124000000,,2199000000.0,3530000000.0,7734000000.0,1151000000.0,1652000000.0,4346000000.0,,
A,2016-10-31,1111000000,588000000,183000000,124000000,,2289000000.0,3635000000.0,7802000000.0,945000000.0,1912000000.0,4246000000.0,,
A,2017-01-31,1067000000,574000000,206000000,168000000,,2241000000.0,3635000000.0,7872000000.0,1089000000.0,1802000000.0,4300000000.0,,
A,2017-04-30,1102000000,592000000,201000000,164000000,,2389000000.0,3800000000.0,8016000000.0,1187000000.0,1802000000.0,4375000000.0,,
A,2017-07-31,1114000000,596000000,201000000,175000000,,2563000000.0,3996000000.0,8261000000.0,1241000000.0,1801000000.0,4611000000.0,,
A,2017-10-31,1189000000,647000000,233000000,177000000,,2678000000.0,4169000000.0,8426000000.0,1263000000.0,1801000000.0,4835000000.0,,
A,2018-01-31,1211000000,673000000,239000000,-320000000,,2887000000.0,4397000000.0,8698000000.0,1361000000.0,1800000000.0,4526000000.0,,
A,2018-04-30,1206000000,644000000,215000000,205000000,,3011000000.0,4525000000.0,8784000000.0,1365000000.0,1800000000.0,4617000000.0,,
A,2018-07-31,1203000000,661000000,225000000,236000000,,2131000000.0,3667000000.0,8349000000.0,1014000000.0,1799000000.0,4568000000.0,,
A,2018-10-31,1294000000,709000000,249000000,195000000,,2247000000.0,3848000000.0,8541000000.0,1171000000.0,1799000000.0,4571000000.0,,
A,2019-01-31,1284000000,707000000,250000000,504000000,,2057000000.0,3712000000.0,8952000000.0,1095000000.0,1798000000.0,5036000000.0,,
A,2019-04-30,1238000000,669000000,216000000,182000000,,2155000000.0,3812000000.0,9022000000.0,1118000000.0,1798000000.0,5125000000.0,,
A,2019-07-31,1274000000,692000000,225000000,191000000,,1765000000.0,3457000000.0,8625000000.0,1622000000.0,1294000000.0,4747000000.0,,
A,2019-10-31,1367000000,737000000,250000000,194000000,,1382000000.0,3189000000.0,9452000000.0,2080000000.0,1791000000.0,4748000000.0,,
A,2020-01-31,1357000000,723000000,215000000,197000000,,1226000000.0,3102000000.0,9501000000.0,1892000000.0,1787000000.0,4848000000.0,,
A,2020-04-30,1238000000,657000000,102000000,101000000,,1324000000.0,3171000000.0,9455000000.0,1945000000.0,1788000000.0,4768000000.0,,
A,2020-07-31,1261000000,669000000,230000000,199000000,,1358000000.0,3245000000.0,9546000000.0,1314000000.0,2283000000.0,4981000000.0,,
A,2021-01-31,1548000000,838000000,328000000,288000000,,1329000000.0,3483000000.0,9674000000.0,1687000000.0,2185000000.0,4804000000.0,,
A,2021-04-30,1525000000,817000000,288000000,216000000,,1380000000.0,3514000000.0,10398000000.0,1758000000.0,2727000000.0,4810000000.0,,
A,2021-07-31,1586000000,852000000,336000000,264000000,,1428000000.0,3632000000.0,10491000000.0,1724000000.0,2728000000.0,4946000000.0,,
A,2021-10-31,1660000000,900000000,395000000,442000000,,1575000000.0,3799000000.0,10705000000.0,1708000000.0,2729000000.0,5389000000.0,,
A,2022-01-31,1674000000,910000000,376000000,283000000,,1158000000.0,3474000000.0,10327000000.0,1584000000.0,2730000000.0,5154000000.0,,
A,2022-04-30,1607000000,861000000,360000000,274000000,,1207000000.0,3643000000.0,10455000000.0,1813000000.0,2730000000.0,5122000000.0,,
