feature_set,forward_window,regression_bucket,observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
financial_price,fwd_12m_return,all,4605,10,0.03630131942049075,0.20893526139813937,0.21174826604583608,0.36271385840787396,0.2489209072195368,0.7372421281216069,0.06293559590929847,0.2997782624985755
price_only,fwd_12m_return,all,4605,10,0.04846642125820266,0.22620267135378408,0.22744065431319746,0.42277359272849907,0.3088510056580917,0.7828447339847991,0.06773093998659126,0.3550426527419078
quality_growth_price,fwd_12m_return,all,4605,10,0.05015166797521142,0.2394885386586353,0.23022250117900558,0.3416690348583466,0.2218272926792548,0.743756786102063,0.06709111315758653,0.27457792170076006
rich_fundamental,fwd_12m_return,all,4605,10,-0.013716621989480426,0.1316370933723616,0.1021234817013613,0.24157107638034722,0.1372615483344874,0.6905537459283387,0.09477463160968437,0.14679644477066284
rich_fundamental_price,fwd_12m_return,all,4605,10,0.04220040136210024,0.22591948050053523,0.21088321789150863,0.38493243916187714,0.2577894036542949,0.742671009771987,0.06183186589683161,0.32310057326504554
financial_price,fwd_12m_return,large_cap,2101,10,0.05760878252664969,0.26150957486096427,0.247194748651053,0.46144150577885223,0.3145986796006006,0.7672209026128266,0.09679953794935145,0.36464196782950076
price_only,fwd_12m_return,large_cap,2101,10,0.06208183787104404,0.25893102272803475,0.25454506507933555,0.5020334855261553,0.3411764908089669,0.7957244655581948,0.10144936667324563,0.40058411885290973
quality_growth_price,fwd_12m_return,large_cap,2101,10,0.06691735857550507,0.2856889103734637,0.243882068882841,0.4522942231147371,0.2960655666558094,0.7814726840855107,0.12786852353009245,0.3244256995846446
rich_fundamental,fwd_12m_return,large_cap,2101,10,-0.03837815059766503,0.14892300567959926,0.12778377612748903,0.3134648021066099,0.1927552414651672,0.7505938242280285,0.13995338872482332,0.17351141338178655
rich_fundamental_price,fwd_12m_return,large_cap,2101,10,0.033967310610872326,0.24008409936588204,0.22209363528904627,0.4300090581989062,0.3082046793682886,0.7553444180522565,0.10437813720064437,0.32563092099826185
