symbol,fiscal_period_end,sales,gross_profit,operating_income,net_income,ebitda,cash_and_equivalents,total_current_assets,total_assets,total_current_liabilities,long_term_debt,total_liabilities,total_equity,net_cash_from_operating_activities,property_and_equipment,prior_revenue,prior_revenue_growth_yoy,revenue_growth_yoy,revenue_growth_accel,gross_margin,operating_margin,net_margin,ebitda_margin,cfo_margin,fcf_margin,capex_to_revenue,rd_to_revenue,sga_to_revenue,debt_to_assets,debt_to_equity,cash_to_assets,current_ratio,asset_turnover,availability_date,trade_date,trade_close,trailing_3m_return,trailing_6m_return,trailing_12m_return,relative_6m_vs_spy,realized_vol_3m,drawdown_12m,growth_x_trailing_6m,growth_x_fcf_margin,fwd_3m_return,fwd_3m_return_end_date,fwd_6m_return,fwd_6m_return_end_date,fwd_12m_return,fwd_12m_return_end_date,current_market_cap,market_cap_bucket,sales_2y_cagr,sales_3y_cagr,sales_growth_consistency_3y,sales_growth_volatility_3y,gross_margin_change_1y,operating_margin_change_1y,net_margin_change_1y,ebitda_margin_change_1y,fcf_margin_change_1y,cfo_margin_change_1y,asset_turnover_change_1y,cfo_to_net_income,fcf_to_net_income,accruals_to_assets,debt_change_1y,cash_change_1y,debt_to_ebitda,net_debt_to_ebitda,interest_coverage_proxy,quality_score,fundamental_momentum_score,sector_rel_sales_growth,sector_rel_operating_margin,sector_rel_fcf_margin,sector_rel_quality_score,growth_quality,growth_quality_x_pullback,growth_accel_x_relative_strength
A,2013-10-31,6782000000,3535000000,951000000,724000000,1323000000,2675000000.0,4983000000.0,10686000000.0,1602000000.0,2699000000.0,5397000000.0,5289000000.0,1152000000.0,-193000000.0,6858000000.0,,-0.0110819480898221,,0.5212326747272191,0.1402241226776762,0.106753170156296,0.1950751990563255,0.1698613978177528,0.1414037157180772,0.0284576820996756,0.0,,0.2525734606026577,0.5103044053696351,0.2503275313494291,3.110486891385768,0.6346621748081602,2014-01-29,2014-01-29,37.2335205078125,0.1222127330013791,0.2913297070511933,0.3047483710436061,0.2285029227996105,0.2423980843022796,-0.0538325691066021,-0.0032285006905644,-0.0015670286372956,-0.0603499149227747,2014-04-30,-0.010447470960635,2014-07-30,-0.0584768635846526,2015-01-29,31566675968.0,mid_cap,,,,,,,,,,,,1.5911602209944744,1.3245856353591154,-0.04005240501590862,,,2.0400604686318977,0.018140589569161727,9.803630974434972,-0.22136163997263666,0.0,-0.0743792388199886,0.0,0.0,-0.2978939084532701,0.0024531182032546486,0.0,
ADI,2013-10-31,2634000000,1692000000,753000000,673000000,863000000,4683000000.0,5472000000.0,6382000000.0,571000000.0,872000000.0,1642000000.0,4740000000.0,912350000.0,-123070000.0,2701000000.0,,-0.0248056275453535,,0.642369020501139,0.285876993166287,0.2555049354593773,0.3276385725132877,0.3463743356112376,0.2996507213363705,0.0467236142748671,0.0,,0.1366342839235349,0.1839662447257384,0.7337825133187089,9.583187390542909,0.4127232842369163,2014-01-29,2014-01-29,37.353294372558594,0.0236616527299269,0.0006970787586582,0.1258997218923827,-0.0621297054929246,0.1836186976805368,-0.0522284088861082,-1.729147605705293e-05,-0.0074330241871665,0.0703609151279696,2014-04-30,0.068845689649714,2014-07-30,0.1344921160684979,2015-01-29,203820351488.0,large_cap,,,,,,,,,,,,1.3556463595839523,1.172778603268945,-0.0375039172673143,,,1.0104287369640788,-4.415990730011589,19.793577981651374,0.5441998684476238,0.0,-0.08810291827552,0.1456528704886108,0.1582470056182933,0.46766759996699037,-0.013499219246942128,-0.0,
AMAT,2013-10-31,7509000000,2991000000,432000000,256000000,1120000000,1891000000.0,5642000000.0,12043000000.0,2443000000.0,1946000000.0,4955000000.0,7088000000.0,623000000.0,-197000000.0,8719000000.0,,-0.1387773827273769,,0.3983220135836995,0.0575309628445864,0.0340924224264216,0.1491543481155946,0.0829671061392995,0.0567319216939672,0.0262351844453322,0.0,,0.1615876442746824,0.2745485327313769,0.1570206759113177,2.30945558739255,0.6235157352819065,2014-01-29,2014-01-29,14.291669845581056,-0.0507982094387606,0.0410742099861662,0.3409264783439762,-0.0217525742654165,0.1942469378912223,-0.0702017184070179,-0.0057001713594748,-0.0078731076097832,0.145340066950925,2014-04-30,0.2851303845440869,2014-07-30,0.4393326474442445,2015-01-29,346505936896.0,large_cap,,,,,,,,,,,,2.43359375,1.664062499999999,-0.03047413435190567,,,1.7375,0.049107142857143925,11.510791366906474,-0.5652845570010592,0.0,-0.20207467345754343,-0.08269315983308981,-0.08467179402410999,-0.6418168254816926,0.0784487113168117,0.00398505406767227,
AVGO,2013-10-31,2520000000,1198000000,552000000,552000000,740000000,985000000.0,1818000000.0,3415000000.0,423000000.0,0.0,529000000.0,2886000000.0,722000000.0,-236000000.0,2364000000.0,,0.0659898477157361,,0.4753968253968254,0.219047619047619,0.219047619047619,0.2936507936507936,0.2865079365079365,0.1928571428571428,0.0936507936507936,0.0,,0.0,0.0,0.2884333821376281,4.297872340425532,0.7379209370424598,2014-01-29,2014-01-29,4.012500286102295,0.1936622647760304,0.4828638394857323,0.5983948093529812,0.4200370552341494,0.3836681455833937,-0.0538934536819666,0.0318641112350991,0.0127266134880348,0.1794254020553967,2014-04-30,0.3150069823215533,2014-07-30,1.0012309230984415,2015-01-29,2013133668352.0,large_cap,,,,,,,,,,,,1.3079710144927537,0.8804347826086955,-0.04978038067349927,,,0.0,-1.3310810810810811,,0.6317539388581009,0.0,0.002692556985569597,0.07882349636994279,0.051453427139065616,0.5552216703774675,0.041689346219062534,0.0,
CIEN,2013-10-31,2083000000,865000000,-2000000,-85000000,125000000,471000000.0,1396000000.0,1803000000.0,615000000.0,0.0,1885000000.0,-83000000.0,44680000.0,-43810000.0,1834000000.0,,0.1357688113413304,,0.4152664426308209,-0.0009601536245799,-0.0408065290446471,0.0600096015362458,0.0214498319731156,0.0004176668266922,0.0210321651464234,0.0,,0.0,0.0,0.2612312811980033,2.269918699186992,1.1552967276760957,2014-01-29,2014-01-29,22.8799991607666,-0.0514096863732201,0.0237135915101054,0.5052631215705761,-0.0391131927414774,0.3845651425666928,-0.1731117059024203,0.0032195661319608,5.670612859671507e-05,-0.1359265217253936,2014-04-30,-0.128933521144936,2014-07-30,-0.1516608147129944,2015-01-29,78399774720.0,large_cap,,,,,,,,,,,,-0.525647058823527,-0.010235294117645325,-0.07192457016084293,,,0.0,-3.768,,0.07653226848063341,0.0,0.0724715206111639,-0.1411842763022561,-0.140986048891385,0.0,0.010390695120871164,0.0005341823773637348,
COO,2013-10-31,1588000000,1027000000,306000000,296000000,431000000,77000000.0,747000000.0,3137000000.0,321000000.0,302000000.0,714000000.0,2423000000.0,415930000.0,-178130000.0,1445000000.0,,0.0989619377162629,,0.6467254408060453,0.1926952141057934,0.1863979848866498,0.2714105793450881,0.2619206549118388,0.1497481108312342,0.1121725440806045,0.0,,0.0962703219636595,0.1246388774246801,0.0245457443417277,2.3271028037383177,0.5062161300605674,2014-01-29,2014-01-29,30.69188690185547,-0.0505358138979418,-0.0178060253043592,0.2128623471738713,-0.0806328095559421,0.2327826825259403,-0.0880306096043346,-0.0017621187671442,0.0148193632172086,0.0719162324592508,2014-04-30,0.3258749338466016,2014-07-30,0.3014919533355358,2015-01-29,11630769152.0,mid_cap,,,,,,,,,,,,1.405168918918919,0.8033783783783782,-0.03823079375199235,,,0.7006960556844546,0.5220417633410676,28.5430463576159,0.09086903331970295,0.0,0.03566464698609639,0.052471091428117206,0.008344395113157016,0.014336764839069538,0.00899257561572146,0.0004544471277792692,
DE,2013-10-31,37795000000,12128000000,6225000000,3537000000,7365000000,5129000000.0,45103000000.0,59521000000.0,21979000000.0,21578000000.0,49254000000.0,10268000000.0,3254300000.0,-221700000.0,36157000000.0,,0.0453024310645242,,0.3208890064823389,0.1647043259690435,0.0935838073819288,0.194867045905543,0.0861039820082021,0.0802381267363407,0.0058658552718613,0.0,,0.3625275112985333,2.10148032723023,0.0861712672838158,2.0520951817644115,0.6349859713378472,2014-01-29,2014-01-29,68.64317321777344,0.035266282647365,0.047692542018568,-0.0742219550577937,-0.0151342422330147,0.1480545325735796,-0.0731497165581759,0.0021605880970881,0.0036349822052196,0.0925400330191688,2014-04-30,0.0066107248056561,2014-07-30,0.026450679422638,2015-01-29,151754391552.0,large_cap,,,,,,,,,,,,0.9200735086231265,0.8573932711337282,0.004749584180373338,,,2.9298031228784804,2.2334012219959276,6.826397256464915,-0.9019086231537059,0.0,-0.0179948596656423,0.024480203291367297,-0.06116558898173649,-0.9784408916343393,-0.0408586532269207,-0.0,
HPQ,2013-10-31,112298000000,25918000000,7131000000,5113000000,11742000000,12163000000.0,50364000000.0,105676000000.0,45521000000.0,16608000000.0,78020000000.0,27656000000.0,11608000000.0,-2546000000.0,120357000000.0,,-0.0669591299218159,,0.2307966303941299,0.0635006856756131,0.0455306416855153,0.1045610785588345,0.1033678248944772,0.0806960052716878,0.0226718196227893,0.0,,0.1571596199704757,0.6005206826728378,0.1150970892160944,1.1063904571516443,1.0626632347931413,2014-01-29,2014-01-29,8.91060733795166,0.2226615839818746,0.13896823067661,0.8035220554569411,0.0761414464250271,0.3084149531278028,-0.0294313424491559,-0.00930519181288,-0.0054033343011584,0.1446852227694506,2014-04-30,0.2562291504989218,2014-07-30,0.3239046951505808,2015-01-29,19103256576.0,mid_cap,,,,,,,,,,,,2.2702914140426365,1.7723450029336976,-0.061461448200158975,,,1.4144098109351044,0.37855561233180035,14.140173410404628,0.02163288998474482,0.0,-0.1302564206519824,-0.0767234370020631,-0.060707710446389396,-0.05489937849588859,-0.0014485194910728782,-0.0,
HRL,2013-10-31,8752000000,1413000000,765000000,526000000,890000000,434000000.0,2047000000.0,4916000000.0,784000000.0,250000000.0,1599000000.0,3317000000.0,637810000.0,-96600000.0,8231000000.0,,0.0632972907301665,,0.1614488117001828,0.087408592321755,0.0601005484460694,0.1016910420475319,0.0728759140767824,0.061838436928702,0.0110374771480804,0.0,,0.0508543531326281,0.0753693096171239,0.0882831570382424,2.610969387755102,1.7803091944670464,2014-01-29,2014-01-29,16.427616119384766,0.022986061984427,0.0631538128111313,0.2881970883653519,0.0003270285595484,0.2054433858845969,-0.0447890341522665,0.0039974652502246,0.0039142055205751,0.0796285575820736,2014-04-30,0.0513963980595397,2014-07-30,0.2050589343630562,2015-01-29,10862610432.0,mid_cap,,,,,,,,,,,,1.2125665399239534,1.0289163498098857,-0.022744100895036517,,,0.2808988764044943,-0.20674157303370794,71.20000000000002,0.19905280195616745,0.0,0.0,-0.052815530355921195,-0.0795652787893752,0.12252053347553404,0.012599503076073788,0.0,
NDSN,2013-10-31,1543000000,866000000,324000000,222000000,378000000,42000000.0,601000000.0,2042000000.0,235000000.0,638000000.0,1154000000.0,888000000.0,268380000.0,-43370000.0,1410000000.0,,0.0943262411347518,,0.5612443292287751,0.2099805573558004,0.1438755670771224,0.2449773169151004,0.1739338950097213,0.1458263123784834,0.0281075826312378,0.0,,0.3124387855044074,0.7184684684684685,0.0205680705190989,2.557446808510638,0.7556317335945152,2014-01-29,2014-01-29,60.55400466918945,-0.0514216870551336,-0.0265081551619227,0.0375663697610113,-0.0893349394135055,0.1591453667947741,-0.0783795486588726,-0.0025004146358409,0.0137552479052044,0.0781168724524563,2014-04-30,0.1217018358914263,2014-07-30,0.0771114464910853,2015-01-29,15333795840.0,mid_cap,,,,,,,,,,,,1.208918918918919,1.013558558558558,-0.022713026444662082,,,1.6878306878306877,1.5767195767195767,11.849529780564263,-0.2436161409061663,0.0,0.031028950404585295,0.0697564346781242,0.004422596660406203,-0.32014840938679967,-0.022979394851432713,-0.0011816392507667211,
