training_mode,feature_set,feature,mean_coef,median_coef,sign_consistency,folds
expanding,financial_only,capex_to_revenue,-0.02025231529907181,-0.01823683255347384,1.0,10
expanding,financial_only,cash_to_assets,0.04726955587674308,0.047882470058132225,1.0,10
expanding,financial_only,debt_to_assets,0.017187434673913128,0.016465725404379752,1.0,10
expanding,financial_only,ebitda_margin,0.03538464889281802,0.035814949000970306,1.0,10
expanding,financial_only,net_margin,-0.024561955613822843,-0.02656450208473583,1.0,10
expanding,financial_only,operating_margin,-0.03867622050048492,-0.038471345998313276,1.0,10
expanding,financial_only,revenue_growth_accel,-0.0418044106881173,-0.038299678466028705,1.0,6
expanding,financial_only,revenue_growth_yoy,-0.014423963293389328,-0.014344702436565361,0.8,10
expanding,financial_only,cfo_margin,-0.00624907665798494,-0.017025822777867846,0.7,10
expanding,financial_only,current_ratio,-0.004916098939302184,-0.00760965729158929,0.7,10
expanding,financial_only,fcf_margin,0.0006876095780476716,0.011861707786873035,0.7,10
expanding,financial_only,gross_margin,0.009559594797232085,0.0026993581418977334,0.6,10
expanding,financial_only,asset_turnover,0.0032710629997653013,0.0006938869927746331,0.5,10
expanding,financial_only,debt_to_equity,-0.004189104961390215,-0.00026458042350896714,0.5,10
rolling_3y,financial_only,debt_to_assets,0.020122179773818406,0.014792473428604512,0.9,10
rolling_3y,financial_only,revenue_growth_accel,-0.07697243896278282,-0.06089701490632244,0.8333333333333334,6
rolling_3y,financial_only,capex_to_revenue,-0.009825364083257463,-0.012162950771357778,0.8,10
rolling_3y,financial_only,net_margin,-0.0401509439262969,-0.043131309113927756,0.8,10
rolling_3y,financial_only,operating_margin,-0.01647527435642545,-0.019888935791289225,0.8,10
rolling_3y,financial_only,cash_to_assets,0.023922817138886755,0.04020508669879455,0.7,10
rolling_3y,financial_only,gross_margin,0.015336036279129533,0.017345258532300938,0.7,10
rolling_3y,financial_only,asset_turnover,0.0030318355060023503,0.014254103952141339,0.6,10
rolling_3y,financial_only,ebitda_margin,0.00038081442920647813,0.015517909765878201,0.6,10
rolling_3y,financial_only,current_ratio,0.009682120398079233,-0.0004982845065661199,0.5,10
rolling_3y,financial_only,debt_to_equity,-0.00227500593323323,-0.004837941685756219,0.5,10
rolling_3y,financial_only,fcf_margin,-0.005205369846939233,0.010728608232118677,0.4,10
rolling_3y,financial_only,revenue_growth_yoy,0.006750670307098033,-0.014344702436565361,0.4,10
rolling_3y,financial_only,cfo_margin,0.00498387718834817,-0.016586627714690473,0.2,10
rolling_5y,financial_only,debt_to_assets,0.01948256448144136,0.020862618159738104,1.0,10
rolling_5y,financial_only,revenue_growth_accel,-0.05192074086525567,-0.038299678466028705,1.0,6
rolling_5y,financial_only,net_margin,-0.03466100050395106,-0.02656450208473583,0.9,10
rolling_5y,financial_only,cash_to_assets,0.0334174875244743,0.03776023168191138,0.8,10
rolling_5y,financial_only,operating_margin,-0.025461228441496297,-0.03413825928011732,0.8,10
rolling_5y,financial_only,revenue_growth_yoy,-0.013095622809889209,-0.014344702436565361,0.8,10
rolling_5y,financial_only,capex_to_revenue,-0.010235144277317785,-0.01104013449742814,0.7,10
rolling_5y,financial_only,gross_margin,0.01531114290798131,0.010810752104427168,0.7,10
rolling_5y,financial_only,debt_to_equity,-0.006039149769060101,-0.0038125723766221555,0.6,10
rolling_5y,financial_only,ebitda_margin,0.009875328307082041,0.03148900758827578,0.6,10
rolling_5y,financial_only,asset_turnover,0.005297244831489437,0.002539148084762265,0.5,10
rolling_5y,financial_only,current_ratio,0.003974388573435927,-0.006760621160751124,0.4,10
rolling_5y,financial_only,cfo_margin,0.010837234048857915,-0.016586627714690473,0.3,10
rolling_5y,financial_only,fcf_margin,-0.010543171608283948,0.01110421381364099,0.3,10
expanding,financial_plus_price,capex_to_revenue,-0.025469368498499196,-0.02301193489049317,1.0,10
expanding,financial_plus_price,cash_to_assets,0.04452007991396681,0.04870128579843942,1.0,10
expanding,financial_plus_price,debt_to_assets,0.017374803197579634,0.018537344528249997,1.0,10
expanding,financial_plus_price,revenue_growth_accel,-0.025865681161263226,-0.021413703855718787,1.0,6
expanding,financial_plus_price,trailing_6m_return,0.13031207394516303,0.12851006826769532,1.0,10
expanding,financial_plus_price,debt_to_equity,-0.00856773048720923,-0.005522598925307619,0.9,10
expanding,financial_plus_price,operating_margin,-0.022533730591271308,-0.02061938141721386,0.9,10
expanding,financial_plus_price,trailing_12m_return,-0.03869650456611485,-0.04486211854861547,0.9,10
expanding,financial_plus_price,drawdown_12m,-0.018944003093417462,-0.018288842832330333,0.8,10
expanding,financial_plus_price,ebitda_margin,0.022348039882815234,0.02427787446663031,0.8,10
expanding,financial_plus_price,realized_vol_3m,0.09448999718174098,0.07905652457353429,0.8,10
