symbol,fiscal_period_end,error,total_revenue,gross_profit,operating_income,net_income,ebitda,research_development,selling_general_admin,operating_cash_flow,capital_expenditure,free_cash_flow,total_assets,total_debt,stockholders_equity,cash,current_assets,current_liabilities,prior_revenue,prior_revenue_growth_yoy,revenue_growth_yoy,revenue_growth_accel,gross_margin,operating_margin,net_margin,ebitda_margin,cfo_margin,fcf_margin,capex_to_revenue,rd_to_revenue,sga_to_revenue,debt_to_assets,debt_to_equity,cash_to_assets,current_ratio,asset_turnover,availability_date,current_market_cap,market_cap_bucket,trade_date,trade_close,reporting_lag_days,fwd_3m_return,fwd_3m_return_end_date,fwd_6m_return,fwd_6m_return_end_date,fwd_12m_return,fwd_12m_return_end_date,trailing_3m_return,trailing_6m_return,trailing_12m_return,realized_vol_3m,drawdown_12m,relative_6m_vs_spy,log_market_cap,growth_x_trailing_6m,growth_x_fcf_margin
BOOT,2023-03-31,,1657615000.0,610572000.0,231787000.0,170553000.0,267703000.0,,378785000.0,88887000.0,-124534000.0,-35647000.0,1517381000.0,447719000.0,776450000.0,18193000.0,669173000.0,374842000.0,1488256000.0,,0.1137969542874344,,0.3683436744961888,0.1398316255584077,0.1028905988423126,0.1614989005287717,0.0536234288420411,-0.0215049936203521,0.0751284224623932,0.0,0.2285120489377811,0.2950603704672722,0.5766230922789619,0.0119897375807394,1.785213503289386,1.09241844994764,2023-06-29,4365484032.0,low_cap,2023-06-29,85.0,90,-0.0320000143612132,2023-09-28,-0.091294142779182,2023-12-28,0.5309412339154411,2024-07-01,0.14185917802603254,0.4266531954971464,0.14354900990312425,0.4242974034614776,-0.027682432162358217,0.26929691653281806,22.196994909437286,0.048551834184576585,-0.0024472027759667764
AI,2023-04-30,,266795000.0,180458000.0,-290493000.0,-268839000.0,-284405000.0,210660000.0,260291000.0,-115691000.0,-71518000.0,-187209000.0,1103028000.0,2339000.0,929665000.0,284829000.0,888879000.0,136039000.0,252759000.0,,0.0555311581387805,,0.6763919863565659,-1.0888247530875763,-1.007661312993122,-1.0660057347401564,-0.4336325643284169,-0.7016960587717161,0.2680634944432992,0.7895950074026875,0.9756217320414552,0.0021205264054946,0.0025159600501255,0.2582246325569251,6.53400127904498,0.2418750929260182,2023-07-29,1256769024.0,low_cap,2023-07-31,42.0,90,-0.4083333242507208,2023-10-27,-0.3921428407941546,2024-01-30,-0.3630952380952381,2024-07-31,1.3569023972654057,1.3635339852594264,1.2653720564180118,1.2246863362685116,-0.0942419459250814,1.2265686140709844,20.951809997880115,0.0757186213630428,-0.038965994805011187
MDT,2023-04-30,,31227000000.0,20508000000.0,5830000000.0,3758000000.0,8697000000.0,2696000000.0,10415000000.0,6039000000.0,-1459000000.0,4580000000.0,90948000000.0,24364000000.0,51483000000.0,1543000000.0,21675000000.0,9051000000.0,31686000000.0,,-0.0144858928233289,,0.6567393601690844,0.1866974092932398,0.1203445736061741,0.2785089826112018,0.193390335286771,0.1466679476094405,0.0467223876773305,0.0863355429596182,0.3335254747494156,0.2678893433610415,0.4732435949730979,0.0169657386638518,2.394763009612197,0.3433500461802348,2023-07-29,97767841792.0,large_cap,2023-07-31,80.23780059814453,90,-0.2021084291811802,2023-10-27,0.0078341310471907,2024-01-30,-0.0531681824608685,2024-07-31,-0.027476182158092888,0.08028436212710965,-0.029388225218174524,0.18752422834772003,-0.04812629297365412,-0.05668100906133233,25.305861543882617,-0.0011629906651626364,-0.002124616169687973
NKE,2023-05-31,,51217000000.0,22292000000.0,5915000000.0,5070000000.0,6774000000.0,,16377000000.0,5841000000.0,-969000000.0,4872000000.0,37531000000.0,12144000000.0,14004000000.0,7441000000.0,25202000000.0,9256000000.0,46710000000.0,,0.0964889745236565,,0.4352461096901419,0.1154889977937013,0.0989905695374582,0.1322607727902844,0.1140441650233321,0.0951246656383622,0.0189194993849698,0.0,0.3197571118964406,0.3235725133889318,0.8671808054841473,0.1982627694439263,2.7227744165946413,1.3646585489328822,2023-08-29,62019551232.0,large_cap,2023-08-29,96.46327209472656,90,0.0721701529797524,2023-11-28,0.0280992790522092,2024-02-29,-0.1702002762813286,2024-08-29,-0.04144774389507966,-0.13800711894196238,-0.04871217676889994,0.24949516524963522,-0.2092962288829735,-0.2800578934747936,24.850715514733135,-0.01331616538367424,0.009178481439351273
ORCL,2023-05-31,,49954000000.0,36390000000.0,13773000000.0,8503000000.0,18739000000.0,8623000000.0,10412000000.0,17165000000.0,-8695000000.0,8470000000.0,134384000000.0,90481000000.0,1073000000.0,9765000000.0,21004000000.0,23090000000.0,42440000000.0,,0.1770499528746465,,0.728470192577171,0.2757136565640389,0.1702165992713296,0.3751251151058974,0.3436161268366897,0.1695559915121912,0.1740601353244985,0.1726188093045602,0.2084317572166393,0.6733018811763305,84.32525629077354,0.0726649005834027,0.9096578605456908,0.3717258006905584,2023-08-29,554933092352.0,large_cap,2023-08-29,116.87006378173828,90,-0.0330265061093549,2023-11-28,-0.0673601989451504,2024-02-29,0.1713518513332306,2024-08-29,0.15143508517153825,0.39108020627561046,0.6431830249539012,0.2786078984199651,-0.043276243243678736,0.24902943174277925,27.04211338910487,0.06924073209130387,0.030019880306847414
BILL,2023-06-30,,1058468000.0,864491000.0,-295773000.0,-223725000.0,-119000000.0,314632000.0,764912000.0,187768000.0,-31203000.0,156565000.0,9636018000.0,1912305000.0,4085969000.0,1617151000.0,6673164000.0,3753436000.0,641959000.0,,0.6488093476374659,,0.8167379646810295,-0.2794349947282298,-0.2113668056096169,-0.1124266392559812,0.1773960100824965,0.1479166115555689,0.0294793985269275,0.2972522551461168,0.7226595419039593,0.198453863411214,0.4680175008669914,0.1678235760871347,1.7778813865482188,0.1098449587786158,2023-09-28,3990840832.0,low_cap,2023-09-28,104.26000213623048,90,-0.2007481284896558,2023-12-28,-0.3813543192170511,2024-04-01,-0.4939574406243078,2024-09-30,-0.10213572450764219,0.40285256410585446,-0.19008773715102167,0.4138411123429714,-0.30728851278049085,0.32740967096003604,22.10726778048381,0.26137450931159983,0.0959696802481131
EL,2023-06-30,,15910000000.0,11346000000.0,1771000000.0,1006000000.0,2396000000.0,,9575000000.0,1731000000.0,-3289000000.0,-1558000000.0,23415000000.0,10169000000.0,5585000000.0,4029000000.0,9139000000.0,6240000000.0,17737000000.0,,-0.1030050177594857,,0.7131363922061597,0.1113136392206159,0.0632306725329981,0.1505971087366436,0.1087994971715902,-0.0979258328095537,0.2067253299811439,0.0,0.6018227529855437,0.4342942558189195,1.8207699194270368,0.1720691864189622,1.4645833333333331,0.6794789664744821,2023-09-28,29044895744.0,mid_cap,2023-09-28,135.32037353515625,90,0.0449226440616501,2023-12-28,0.0814554580352886,2024-04-01,-0.2817510370580522,2024-09-30,-0.25964441818259687,-0.415336849829813,-0.3637074535005985,0.27337763290961464,-0.4892587972907615,-0.49077974297563143,24.09210859891984,0.04278177959288874,0.010086852147660507
KLAC,2023-06-30,,10496056000.0,6277749000.0,3994696000.0,3387277000.0,4501243000.0,1296727000.0,986326000.0,3669805000.0,-341591000.0,3328214000.0,14072357000.0,6063132000.0,2919753000.0,1927865000.0,8372032000.0,3742842000.0,9211883000.0,,0.1394039633373545,,0.5981055169675161,0.3805901950218253,0.3227190289381078,0.4288508940882175,0.3496365682500169,0.3170918676500964,0.0325447005999205,0.1235442150842183,0.0939711068614725,0.4308540495383964,2.0765907253113536,0.1369965955241186,2.236811492443443,0.7458633972972687,2023-09-28,235693834240.0,large_cap,2023-09-28,448.38671875,90,0.2833366093285825,2023-12-28,0.5595648080793121,2024-04-01,0.7055117576467718,2024-09-30,-0.03749405424286145,0.19664212609150855,0.5045134675974958,0.34013765076694824,-0.10785434370015068,0.12119923294569013,26.185799487191222,0.0274126917362401,0.0442038630924673
LRCX,2023-06-30,,17428516000.0,7776925000.0,5217010000.0,4510931000.0,5638104000.0,1727162000.0,832753000.0,5178938000.0,-501568000.0,4677370000.0,18781643000.0,5011541000.0,8210172000.0,5337056000.0,13228412000.0,4184918000.0,17227039000.0,,0.0116953935032015,,0.4462184273176213,0.2993375913359462,0.258824732983577,0.3234987993240503,0.2971531253722348,0.2683745420436255,0.0287785833286092,0.099099774186167,0.047781061795508,0.2668318740804518,0.6104063349708142,0.2841634248931257,3.160972807591451,0.9279548120470612,2023-09-28,356062593024.0,large_cap,2023-09-28,61.31550979614258,90,0.2618290249667574,2023-12-28,0.5721981525733082,2024-04-01,0.3132628981143053,2024-09-30,-0.017089267174603462,0.2237551492942249,0.6878271948245898,0.3635756817322527,-0.12733720450063646,0.14831225614840648,26.598372375444495,0.0026169045193635597,0.0031387458754416953
MSFT,2023-06-30,,211915000000.0,146052000000.0,88523000000.0,72361000000.0,105140000000.0,27195000000.0,30334000000.0,87582000000.0,-28107000000.0,59475000000.0,411976000000.0,59965000000.0,206223000000.0,34704000000.0,184257000000.0,104149000000.0,198270000000.0,,0.0688202955565642,,0.6892008588349102,0.417728806361041,0.3414623787839464,0.4961423212136941,0.4132883467427978,0.2806549795908737,0.1326333671519241,0.1283297548545407,0.1431422976193285,0.145554595413325,0.2907774593522546,0.0842379167718507,1.76916725076573,0.5143867603938094,2023-09-28,3134205460480.0,large_cap,2023-09-28,307.7041015625,90,0.1989596590169762,2023-12-28,0.3589416402984553,2024-04-01,0.3822531094389203,2024-09-30,-0.061918842437220234,0.12292298457196771,0.33949508528930594,0.21865755342832377,-0.12569446678486684,0.047480091426149285,28.7733968162585,0.0084595961289378,0.019314758644865423
