feature_set,forward_window,regression_bucket,observations,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
financial_only,fwd_12m_return,all,150,-0.05121823278683757,0.02509654289048943,0.16234143739721765,0.21987067507355276,0.23331354836300539,0.7,0.17748637304621753,0.04238430202733523
financial_plus_price,fwd_12m_return,all,150,-0.3178917563515573,-0.14252167890554343,0.02404551313391706,0.09123750672320938,0.0567501963293277,0.6333333333333333,0.3995353785768525,-0.3082978718536431
financial_only,fwd_12m_return,large_cap,117,0.018940107586175592,0.19645489350670206,0.1275007867643753,0.34507314425450913,0.237391485632438,0.75,0.17465370866785832,0.17041943558665082
financial_plus_price,fwd_12m_return,large_cap,117,-0.2228015577122513,-0.02586669932851558,0.013487389291012902,0.2028036210313308,0.21039519266394602,0.75,0.22016795346243176,-0.01736433243110097
financial_only,fwd_3m_return,all,181,-0.19259888378255519,-0.05744085447704507,-0.16836864792665895,0.11898972168713363,0.0342224659910044,0.5945945945945946,0.12243488961166907,-0.0034451679245354333
financial_plus_price,fwd_3m_return,all,181,-0.1358812222294341,0.00970100711990581,-0.07075465970493594,0.13551650995750578,0.0317184243362278,0.6216216216216216,0.13528152523744916,0.00023498472005661908
financial_only,fwd_3m_return,large_cap,142,0.018998581112129487,0.3316136261982526,0.1481607993444973,0.14963280275205723,0.1197842727108426,0.6896551724137931,0.02250100904480012,0.1271317937072571
financial_plus_price,fwd_3m_return,large_cap,142,0.01776543035476963,0.18661424842109903,0.03827188693835382,0.14087048430106414,0.0342224659910044,0.6551724137931034,0.07026787522113824,0.0706026090799259
financial_only,fwd_3m_return,low_cap,21,-0.7029726991285423,-0.3277185247112002,-0.3571428571428571,0.013230622663018799,0.0087570652721302,0.6,0.33390959219333366,-0.3206789695303149
financial_plus_price,fwd_3m_return,low_cap,21,-0.830077636595564,-0.19910791235276556,-0.1961038961038961,0.1083715337465275,0.0087570652721302,0.6,0.20295778058395353,-0.09458624683742603
financial_only,fwd_3m_return,mid_cap,18,-0.7333138848601182,-0.4913868999633039,-0.500515995872033,-0.07169854603966314,0.0020040002723138994,0.5,0.375592320065485,-0.4472908661051481
financial_plus_price,fwd_3m_return,mid_cap,18,-1.136716841198881,-0.6375935181832596,-0.5624355005159958,-0.07169854603966314,0.0020040002723138994,0.5,0.26555252212531605,-0.3372510681649792
financial_only,fwd_6m_return,all,167,-0.0717767399577276,-0.17181223473635393,-0.1354313747719707,0.10459109019329575,0.04370010098667659,0.6764705882352942,0.3921838614755638,-0.287592771282268
financial_plus_price,fwd_6m_return,all,167,-0.055188879644400224,-0.03309912357701889,0.09933575190410916,0.20582492018975762,0.1674634021149714,0.7352941176470589,0.30980211183502127,-0.10397719164526364
financial_only,fwd_6m_return,large_cap,128,0.0196767870962532,0.19624027917493891,0.03928424281267167,0.2655658529902173,0.13566913775146855,0.8076923076923077,0.1249595910708489,0.14060626191936837
financial_plus_price,fwd_6m_return,large_cap,128,0.00816927329001893,0.14229037303227304,0.10720335103460904,0.21577520422898672,0.14065785388194835,0.8076923076923077,0.11360742645510093,0.10216777777388579
financial_only,fwd_6m_return,low_cap,21,-0.027272298405478068,0.4132591954500211,0.4194805194805195,2.020479700316777,1.2867737516768871,0.8,-0.10839517810554722,2.128874878422324
financial_plus_price,fwd_6m_return,low_cap,21,-0.04053649453958541,0.31340524507024287,0.4831168831168831,1.7866667203332642,0.1177088517593238,0.8,-0.145840400879572,1.9325071212128362
financial_only,fwd_6m_return,mid_cap,18,-0.3103178566665403,-0.43380995062367605,-0.2672858617131063,-0.1753868414267932,-0.10707788123508455,0.25,0.48929558624294595,-0.6646824276697392
financial_plus_price,fwd_6m_return,mid_cap,18,-0.365416333670171,-0.4605070418681206,-0.16615067079463364,-0.021667168345701128,-0.0388036353355599,0.5,0.48929558624294595,-0.510962754588647
