symbol,fiscal_period_end,error,total_revenue,gross_profit,operating_income,net_income,ebitda,research_development,selling_general_admin,operating_cash_flow,capital_expenditure,free_cash_flow,total_assets,total_debt,stockholders_equity,cash,current_assets,current_liabilities
AAPL,2021-09-30,,,,,,,,,,,,,,,,,
AAPL,2022-09-30,,394328000000.0,170782000000.0,119437000000.0,99803000000.0,130541000000.0,26251000000.0,25094000000.0,122151000000.0,-10708000000.0,111443000000.0,352755000000.0,132480000000.0,50672000000.0,23646000000.0,135405000000.0,153982000000.0
AAPL,2023-09-30,,383285000000.0,169148000000.0,114301000000.0,96995000000.0,125820000000.0,29915000000.0,24932000000.0,110543000000.0,-10959000000.0,99584000000.0,352583000000.0,111088000000.0,62146000000.0,29965000000.0,143566000000.0,145308000000.0
AAPL,2024-09-30,,391035000000.0,180683000000.0,123216000000.0,93736000000.0,134661000000.0,31370000000.0,26097000000.0,118254000000.0,-9447000000.0,108807000000.0,364980000000.0,106629000000.0,56950000000.0,29943000000.0,152987000000.0,176392000000.0
AAPL,2025-09-30,,416161000000.0,195201000000.0,133050000000.0,112010000000.0,144748000000.0,34550000000.0,27601000000.0,111482000000.0,-12715000000.0,98767000000.0,359241000000.0,98657000000.0,73733000000.0,35934000000.0,147957000000.0,165631000000.0
ABBV,2022-12-31,,58054000000.0,40640000000.0,18814000000.0,11836000000.0,24174000000.0,6510000000.0,15260000000.0,24943000000.0,-695000000.0,24248000000.0,138805000000.0,63271000000.0,17254000000.0,9201000000.0,28463000000.0,29538000000.0
ABBV,2023-12-31,,54318000000.0,33903000000.0,13535000000.0,4863000000.0,17172000000.0,7675000000.0,12872000000.0,22839000000.0,-777000000.0,22062000000.0,134711000000.0,59385000000.0,10360000000.0,12814000000.0,33002000000.0,37841000000.0
ABBV,2024-12-31,,56334000000.0,39430000000.0,11894000000.0,4278000000.0,14910000000.0,12791000000.0,14752000000.0,18806000000.0,-974000000.0,17832000000.0,135161000000.0,67144000000.0,3325000000.0,5524000000.0,25582000000.0,38749000000.0
ABBV,2025-12-31,,61160000000.0,42956000000.0,20091000000.0,4226000000.0,17629000000.0,9096000000.0,14010000000.0,19030000000.0,-1214000000.0,17816000000.0,133960000000.0,67496000000.0,-3270000000.0,5229000000.0,29062000000.0,43289000000.0
ABT,2021-12-31,,,,,,,,,,,,,,,,,
ABT,2022-12-31,,43653000000.0,24511000000.0,8362000000.0,6933000000.0,12131000000.0,2888000000.0,11248000000.0,9581000000.0,-1777000000.0,7804000000.0,74438000000.0,17716000000.0,36686000000.0,9882000000.0,25224000000.0,15489000000.0
ABT,2023-12-31,,40109000000.0,22134000000.0,6478000000.0,5723000000.0,10544000000.0,2741000000.0,10949000000.0,7261000000.0,-2202000000.0,5059000000.0,73214000000.0,15628000000.0,38603000000.0,6896000000.0,22670000000.0,13841000000.0
ABT,2024-12-31,,41950000000.0,23244000000.0,6825000000.0,13402000000.0,10790000000.0,2844000000.0,11697000000.0,8558000000.0,-2207000000.0,6351000000.0,81414000000.0,15021000000.0,47664000000.0,7616000000.0,23656000000.0,14157000000.0
ABT,2025-12-31,,44328000000.0,25009000000.0,8053000000.0,6524000000.0,12075000000.0,2942000000.0,12332000000.0,9566000000.0,-2171000000.0,7395000000.0,86713000000.0,13860000000.0,52130000000.0,8522000000.0,25996000000.0,16496000000.0
ACN,2021-08-31,,,,,,,,,,,,,,,,,
ACN,2022-08-31,,61594305000.0,19701539000.0,9367181000.0,6877169000.0,10274132000.0,,10334358000.0,9541129000.0,-717998000.0,8823131000.0,47263390000.0,3325756000.0,22106097000.0,7889833000.0,21610871000.0,17523496000.0
ACN,2023-08-31,,64111745000.0,20731607000.0,9873035000.0,6871557000.0,10248473000.0,,10858572000.0,9524268000.0,-528172000.0,8996096000.0,51245305000.0,3149034000.0,25692839000.0,9045032000.0,23381931000.0,18009038000.0
ACN,2024-08-31,,64896464000.0,21162317000.0,10034287000.0,7264787000.0,10836289000.0,,11128030000.0,9131027000.0,-516509000.0,8614518000.0,55932363000.0,4120549000.0,28288646000.0,5004469000.0,20857781000.0,18976127000.0
ACN,2025-08-31,,69672977000.0,22235401000.0,10840988000.0,7678433000.0,11867333000.0,,11394413000.0,11474399000.0,-600039000.0,10874360000.0,65394897000.0,8182866000.0,31195446000.0,11478729000.0,28900689000.0,20352097000.0
ADBE,2022-11-30,,17606000000.0,15441000000.0,6098000000.0,4756000000.0,6976000000.0,2987000000.0,6187000000.0,7838000000.0,-442000000.0,7396000000.0,27165000000.0,4633000000.0,14051000000.0,4236000000.0,8996000000.0,8128000000.0
ADBE,2023-11-30,,19409000000.0,17055000000.0,6650000000.0,5428000000.0,7784000000.0,3473000000.0,6764000000.0,7302000000.0,-360000000.0,6942000000.0,29779000000.0,4080000000.0,16518000000.0,7141000000.0,11084000000.0,8251000000.0
ADBE,2024-11-30,,21505000000.0,19147000000.0,7741000000.0,5560000000.0,7957000000.0,3944000000.0,7293000000.0,8056000000.0,-183000000.0,7873000000.0,30230000000.0,6056000000.0,14105000000.0,7613000000.0,11232000000.0,10521000000.0
ADBE,2025-11-30,,23769000000.0,21218000000.0,8706000000.0,7130000000.0,9815000000.0,4294000000.0,8061000000.0,10031000000.0,-179000000.0,9852000000.0,29496000000.0,6648000000.0,11623000000.0,5431000000.0,10163000000.0,10200000000.0
ADSK,2022-01-31,,,,,,,,,,,,,,,,,
ADSK,2023-01-31,,5005000000.0,4525000000.0,989000000.0,823000000.0,1167000000.0,1219000000.0,2277000000.0,2071000000.0,-46000000.0,2025000000.0,9438000000.0,2666000000.0,1145000000.0,1947000000.0,3341000000.0,4000000000.0
ADSK,2024-01-31,,5497000000.0,4986000000.0,1128000000.0,906000000.0,1267000000.0,1373000000.0,2443000000.0,1313000000.0,-61000000.0,1252000000.0,9912000000.0,2626000000.0,1855000000.0,1892000000.0,3579000000.0,4351000000.0
ADSK,2025-01-31,,6131000000.0,5553000000.0,1369000000.0,1112000000.0,1549000000.0,1485000000.0,2650000000.0,1607000000.0,-102000000.0,1505000000.0,10833000000.0,2559000000.0,2621000000.0,1599000000.0,3482000000.0,5151000000.0
ADSK,2026-01-31,,7206000000.0,6556000000.0,1794000000.0,1124000000.0,1989000000.0,1643000000.0,3066000000.0,2452000000.0,-76000000.0,2376000000.0,12467000000.0,2734000000.0,3045000000.0,2249000000.0,4942000000.0,5808000000.0
AEP,2021-12-31,,,,,,,,,,,,,,,,,
AEP,2022-12-31,,19639500000.0,11292200000.0,3778500000.0,2307200000.0,7102200000.0,,,5288000000.0,-6772400000.0,-1484400000.0,93403300000.0,41579300000.0,23893400000.0,509400000.0,6775500000.0,13266300000.0
AEP,2023-12-31,,18982000000.0,11128000000.0,3735000000.0,2208000000.0,7203000000.0,,,5012000000.0,-7506000000.0,-2494000000.0,96684000000.0,43608500000.0,25246700000.0,330100000.0,6082100000.0,11583600000.0
AEP,2024-12-31,,19721000000.0,12460000000.0,4447000000.0,2967000000.0,8099000000.0,,,6804000000.0,-7771000000.0,-967000000.0,103078000000.0,45763000000.0,26944000000.0,203000000.0,5789000000.0,13009000000.0
