symbol,current_market_cap,market_cap_bucket
AAPL,4409585041408.0,large_cap
ABBV,371715538944.0,large_cap
ABT,147130957824.0,large_cap
ACN,103897767936.0,large_cap
ADBE,100079919104.0,large_cap
ADSK,49961189376.0,mid_cap
AEP,68094746624.0,large_cap
AMAT,346505936896.0,large_cap
AMD,691537707008.0,large_cap
AMGN,176207396864.0,large_cap
AMT,79495331840.0,large_cap
AMZN,2841383010304.0,large_cap
ANET,178764283904.0,large_cap
AON,67750879232.0,large_cap
APD,65775423488.0,large_cap
APH,153779306496.0,large_cap
AVGO,2013133668352.0,large_cap
AXP,213895708672.0,large_cap
AZO,55024222208.0,large_cap
BA,173812793344.0,large_cap
BAC,353197326336.0,large_cap
BL,1598509952.0,low_cap
BLK,167947649024.0,large_cap
BMY,116398063616.0,large_cap
BOOT,4365484032.0,low_cap
BSX,78301192192.0,large_cap
BX,144092463104.0,large_cap
C,210502303744.0,large_cap
CAT,409148456960.0,large_cap
CB,125724844032.0,large_cap
CDNS,95774343168.0,large_cap
CELH,7710112768.0,low_cap
CI,75463155712.0,large_cap
CL,70520684544.0,large_cap
CME,108294709248.0,large_cap
CMG,41881264128.0,mid_cap
COP,149131378688.0,large_cap
COST,465369300992.0,large_cap
CRM,141940506624.0,large_cap
CROX,4717535232.0,low_cap
CSCO,466916868096.0,large_cap
CSX,84842618880.0,large_cap
CVX,380594323456.0,large_cap
DE,151754391552.0,large_cap
DHR,114595143680.0,large_cap
DPZ,10054730752.0,mid_cap
DUK,94292164608.0,large_cap
DXCM,23781353472.0,mid_cap
ECL,69689556992.0,large_cap
EL,29044895744.0,mid_cap
ELV,85275320320.0,large_cap
EMR,74521305088.0,large_cap
ENPH,6970807808.0,low_cap
EOG,74706477056.0,large_cap
EQIX,104486469632.0,large_cap
ETN,155102560256.0,large_cap
EXC,44386770944.0,mid_cap
FCX,90580639744.0,large_cap
FIVE,11813208064.0,mid_cap
GD,90458890240.0,large_cap
GE,294150897664.0,large_cap
GILD,160882638848.0,large_cap
GOOGL,4807165739008.0,large_cap
GS,279805689856.0,large_cap
HCA,93838237696.0,large_cap
HD,296328200192.0,large_cap
HON,135120191488.0,large_cap
IBM,206116847616.0,large_cap
ICE,87292510208.0,large_cap
INTC,546677981184.0,large_cap
INTU,109361717248.0,large_cap
ISRG,149145059328.0,large_cap
ITW,71257530368.0,large_cap
JNJ,545740161024.0,large_cap
JPM,797985275904.0,large_cap
KKR,90418855936.0,large_cap
KLAC,235693834240.0,large_cap
KMB,31836399616.0,mid_cap
KO,347726643200.0,large_cap
LIN,233998581760.0,large_cap
LLY,896128712704.0,large_cap
LMT,118973136896.0,large_cap
LOW,122328940544.0,large_cap
LRCX,356062593024.0,large_cap
LULU,13976446976.0,mid_cap
MA,436667154432.0,large_cap
MCD,196376723456.0,large_cap
MDB,25088151552.0,mid_cap
MDLZ,77583794176.0,large_cap
MDT,97767841792.0,large_cap
META,1559175626752.0,large_cap
MMM,76263563264.0,large_cap
MRK,275089031168.0,large_cap
MRNA,19458398208.0,mid_cap
MRVL,154876592128.0,large_cap
MS,303643099136.0,large_cap
MSFT,3134205460480.0,large_cap
MU,817223696384.0,large_cap
NEE,194687483904.0,large_cap
NEM,116427300864.0,large_cap
NFLX,366423670784.0,large_cap
NKE,62019551232.0,large_cap
NOC,76796076032.0,large_cap
NOW,98046451712.0,large_cap
NSC,70960480256.0,large_cap
NVDA,5457368842240.0,large_cap
NXPI,73595314176.0,large_cap
O,56993943552.0,large_cap
ORCL,554933092352.0,large_cap
ORLY,73332998144.0,large_cap
PANW,196935139328.0,large_cap
PEP,203838226432.0,large_cap
PFE,144366927872.0,large_cap
PG,329659777024.0,large_cap
PGR,116709515264.0,large_cap
PH,108777250816.0,large_cap
PLD,131021455360.0,large_cap
PNC,85469020160.0,large_cap
PYPL,39174303744.0,mid_cap
QCOM,212370472960.0,large_cap
REGN,73203851264.0,large_cap
ROST,68812906496.0,large_cap
RTX,230525255680.0,large_cap
RUN,3337304320.0,low_cap
