symbol,fiscal_period_end,error,total_revenue,gross_profit,operating_income,net_income,ebitda,research_development,selling_general_admin,operating_cash_flow,capital_expenditure,free_cash_flow,total_assets,total_debt,stockholders_equity,cash,current_assets,current_liabilities,prior_revenue,prior_revenue_growth_yoy,revenue_growth_yoy,revenue_growth_accel,gross_margin,operating_margin,net_margin,ebitda_margin,cfo_margin,fcf_margin,capex_to_revenue,rd_to_revenue,sga_to_revenue,debt_to_assets,debt_to_equity,cash_to_assets,current_ratio,asset_turnover,availability_date,current_market_cap,market_cap_bucket,trade_date,trade_close,reporting_lag_days,fwd_3m_return,fwd_3m_return_end_date,fwd_6m_return,fwd_6m_return_end_date,fwd_12m_return,fwd_12m_return_end_date
BOOT,2023-03-31,,1657615000.0,610572000.0,231787000.0,170553000.0,267703000.0,,378785000.0,88887000.0,-124534000.0,-35647000.0,1517381000.0,447719000.0,776450000.0,18193000.0,669173000.0,374842000.0,1488256000.0,,0.11379695428743442,,0.3683436744961888,0.13983162555840772,0.1028905988423126,0.16149890052877175,0.053623428842041125,-0.02150499362035213,0.07512842246239326,0.0,0.2285120489377811,0.29506037046727224,0.5766230922789619,0.011989737580739445,1.7852135032893859,1.0924184499476401,2023-06-29,4365484032.0,low_cap,2023-06-29,85.0,90,-0.03200001436121325,2023-09-28,-0.09129414277918202,2023-12-28,0.5309412339154411,2024-07-01
AI,2023-04-30,,266795000.0,180458000.0,-290493000.0,-268839000.0,-284405000.0,210660000.0,260291000.0,-115691000.0,-71518000.0,-187209000.0,1103028000.0,2339000.0,929665000.0,284829000.0,888879000.0,136039000.0,252759000.0,,0.05553115813878051,,0.6763919863565659,-1.0888247530875765,-1.007661312993122,-1.0660057347401564,-0.43363256432841696,-0.7016960587717161,0.2680634944432992,0.7895950074026875,0.9756217320414551,0.0021205264054946927,0.0025159600501255827,0.2582246325569251,6.53400127904498,0.2418750929260182,2023-07-29,1256769024.0,low_cap,2023-07-31,42.0,90,-0.4083333242507208,2023-10-27,-0.3921428407941546,2024-01-30,-0.36309523809523814,2024-07-31
MDT,2023-04-30,,31227000000.0,20508000000.0,5830000000.0,3758000000.0,8697000000.0,2696000000.0,10415000000.0,6039000000.0,-1459000000.0,4580000000.0,90948000000.0,24364000000.0,51483000000.0,1543000000.0,21675000000.0,9051000000.0,31686000000.0,,-0.014485892823328905,,0.6567393601690844,0.18669740929323983,0.12034457360617415,0.2785089826112018,0.19339033528677108,0.14666794760944055,0.046722387677330515,0.08633554295961827,0.3335254747494156,0.2678893433610415,0.4732435949730979,0.01696573866385187,2.3947630096121975,0.34335004618023485,2023-07-29,97767841792.0,large_cap,2023-07-31,80.23780059814453,90,-0.20210842918118022,2023-10-27,0.007834131047190773,2024-01-30,-0.05316818246086852,2024-07-31
NKE,2023-05-31,,51217000000.0,22292000000.0,5915000000.0,5070000000.0,6774000000.0,,16377000000.0,5841000000.0,-969000000.0,4872000000.0,37531000000.0,12144000000.0,14004000000.0,7441000000.0,25202000000.0,9256000000.0,46710000000.0,,0.09648897452365657,,0.43524610969014194,0.11548899779370131,0.09899056953745826,0.13226077279028448,0.1140441650233321,0.09512466563836226,0.018919499384969833,0.0,0.3197571118964406,0.32357251338893184,0.8671808054841473,0.19826276944392635,2.7227744165946413,1.3646585489328822,2023-08-29,62019551232.0,large_cap,2023-08-29,96.46327209472656,90,0.07217015297975249,2023-11-28,0.028099279052209214,2024-02-29,-0.1702002762813286,2024-08-29
ORCL,2023-05-31,,49954000000.0,36390000000.0,13773000000.0,8503000000.0,18739000000.0,8623000000.0,10412000000.0,17165000000.0,-8695000000.0,8470000000.0,134384000000.0,90481000000.0,1073000000.0,9765000000.0,21004000000.0,23090000000.0,42440000000.0,,0.17704995287464653,,0.728470192577171,0.2757136565640389,0.17021659927132962,0.3751251151058974,0.34361612683668974,0.16955599151219122,0.17406013532449854,0.1726188093045602,0.2084317572166393,0.6733018811763305,84.32525629077354,0.07266490058340279,0.9096578605456908,0.3717258006905584,2023-08-29,554933092352.0,large_cap,2023-08-29,116.87006378173828,90,-0.03302650610935498,2023-11-28,-0.06736019894515044,2024-02-29,0.1713518513332306,2024-08-29
BILL,2023-06-30,,1058468000.0,864491000.0,-295773000.0,-223725000.0,-119000000.0,314632000.0,764912000.0,187768000.0,-31203000.0,156565000.0,9636018000.0,1912305000.0,4085969000.0,1617151000.0,6673164000.0,3753436000.0,641959000.0,,0.6488093476374659,,0.8167379646810295,-0.27943499472822986,-0.21136680560961693,-0.11242663925598129,0.17739601008249659,0.14791661155556898,0.029479398526927596,0.29725225514611686,0.7226595419039593,0.19845386341121404,0.4680175008669914,0.16782357608713475,1.7778813865482188,0.10984495877861582,2023-09-28,3990840832.0,low_cap,2023-09-28,104.26000213623047,90,-0.20074812848965584,2023-12-28,-0.3813543192170511,2024-04-01,-0.4939574406243078,2024-09-30
EL,2023-06-30,,15910000000.0,11346000000.0,1771000000.0,1006000000.0,2396000000.0,,9575000000.0,1731000000.0,-3289000000.0,-1558000000.0,23415000000.0,10169000000.0,5585000000.0,4029000000.0,9139000000.0,6240000000.0,17737000000.0,,-0.10300501775948578,,0.7131363922061597,0.11131363922061596,0.06323067253299812,0.15059710873664361,0.1087994971715902,-0.09792583280955373,0.20672532998114393,0.0,0.6018227529855437,0.4342942558189195,1.8207699194270368,0.1720691864189622,1.4645833333333333,0.6794789664744821,2023-09-28,29044895744.0,mid_cap,2023-09-28,135.32037353515625,90,0.04492264406165014,2023-12-28,0.08145545803528864,2024-04-01,-0.28175103705805227,2024-09-30
KLAC,2023-06-30,,10496056000.0,6277749000.0,3994696000.0,3387277000.0,4501243000.0,1296727000.0,986326000.0,3669805000.0,-341591000.0,3328214000.0,14072357000.0,6063132000.0,2919753000.0,1927865000.0,8372032000.0,3742842000.0,9211883000.0,,0.1394039633373545,,0.5981055169675161,0.38059019502182534,0.3227190289381078,0.4288508940882175,0.34963656825001693,0.3170918676500964,0.03254470059992058,0.1235442150842183,0.09397110686147254,0.43085404953839646,2.0765907253113536,0.13699659552411866,2.236811492443443,0.7458633972972687,2023-09-28,235693834240.0,large_cap,2023-09-28,448.38671875,90,0.2833366093285825,2023-12-28,0.5595648080793121,2024-04-01,0.7055117576467718,2024-09-30
LRCX,2023-06-30,,17428516000.0,7776925000.0,5217010000.0,4510931000.0,5638104000.0,1727162000.0,832753000.0,5178938000.0,-501568000.0,4677370000.0,18781643000.0,5011541000.0,8210172000.0,5337056000.0,13228412000.0,4184918000.0,17227039000.0,,0.01169539350320159,,0.4462184273176213,0.29933759133594623,0.25882473298357705,0.3234987993240503,0.2971531253722348,0.26837454204362554,0.028778583328609275,0.09909977418616708,0.047781061795508006,0.26683187408045184,0.6104063349708142,0.2841634248931257,3.160972807591451,0.9279548120470611,2023-09-28,356062593024.0,large_cap,2023-09-28,61.31550979614258,90,0.2618290249667574,2023-12-28,0.5721981525733082,2024-04-01,0.3132628981143053,2024-09-30
MSFT,2023-06-30,,211915000000.0,146052000000.0,88523000000.0,72361000000.0,105140000000.0,27195000000.0,30334000000.0,87582000000.0,-28107000000.0,59475000000.0,411976000000.0,59965000000.0,206223000000.0,34704000000.0,184257000000.0,104149000000.0,198270000000.0,,0.06882029555656421,,0.6892008588349102,0.417728806361041,0.3414623787839464,0.49614232121369417,0.4132883467427978,0.2806549795908737,0.13263336715192411,0.12832975485454073,0.1431422976193285,0.14555459541332505,0.2907774593522546,0.08423791677185079,1.76916725076573,0.5143867603938094,2023-09-28,3134205460480.0,large_cap,2023-09-28,307.7041015625,90,0.1989596590169762,2023-12-28,0.3589416402984553,2024-04-01,0.3822531094389203,2024-09-30
