fold_id,train_start,train_end,test_start,test_end
0,2010-01-04,2013-01-03,2013-01-04,2013-07-05
1,2010-01-04,2013-07-05,2013-07-08,2014-01-03
2,2010-01-04,2014-01-03,2014-01-06,2014-07-07
3,2010-01-04,2014-07-07,2014-07-08,2015-01-05
4,2010-01-04,2015-01-05,2015-01-06,2015-07-07
5,2010-01-04,2015-07-07,2015-07-08,2016-01-05
6,2010-01-04,2016-01-05,2016-01-06,2016-07-06
7,2010-01-04,2016-07-06,2016-07-07,2017-01-04
8,2010-01-04,2017-01-04,2017-01-05,2017-07-06
9,2010-01-04,2017-07-06,2017-07-07,2018-01-04
10,2010-01-04,2018-01-04,2018-01-05,2018-07-06
11,2010-01-04,2018-07-06,2018-07-09,2019-01-07
12,2010-01-04,2019-01-07,2019-01-08,2019-07-09
13,2010-01-04,2019-07-09,2019-07-10,2020-01-07
14,2010-01-04,2020-01-07,2020-01-08,2020-07-08
15,2010-01-04,2020-07-08,2020-07-09,2021-01-06
16,2010-01-04,2021-01-06,2021-01-07,2021-07-08
17,2010-01-04,2021-07-08,2021-07-09,2022-01-05
18,2010-01-04,2022-01-05,2022-01-06,2022-07-08
19,2010-01-04,2022-07-08,2022-07-11,2023-01-06
20,2010-01-04,2023-01-06,2023-01-09,2023-07-11
21,2010-01-04,2023-07-11,2023-07-12,2024-01-09
22,2010-01-04,2024-01-09,2024-01-10,2024-07-11
23,2010-01-04,2024-07-11,2024-07-12,2025-01-10
24,2010-01-04,2025-01-10,2025-01-13,2025-07-15
25,2010-01-04,2025-07-15,2025-07-16,2026-01-13
26,2010-01-04,2026-01-13,2026-01-14,2026-04-30
