experiment,target_type,regression_bucket,rows,years,spearman,target_spearman,top_quintile_mean_return,top_quintile_hit_rate,mean_yearly_top_minus_bottom,positive_yearly_spread_rate
hist_and_current_valuation,raw_return,all,4605,10,0.30867097734803706,0.30867097734803706,0.4325447432473624,0.7754880694143167,0.2808613194207975,1.0
current_cap_valuation,raw_return,all,4605,10,0.28797483224147985,0.28797483224147985,0.38902729698145344,0.7472885032537961,0.22364550733941807,1.0
hist_cap_valuation,raw_return,all,4605,10,0.23441375801996778,0.23441375801996778,0.40918867781652857,0.764642082429501,0.1871654251041069,0.8
baseline_no_valuation,raw_return,all,4605,10,0.22954752033701212,0.22954752033701212,0.3693438776633351,0.7429501084598699,0.15813516095178942,0.7
hist_cap_valuation_sector_excess,sector_excess_return,all,4561,10,0.19738165503282637,0.08276640246985598,0.3268353964536756,0.7415115005476451,0.17216736695118923,0.8
hist_and_current_valuation,raw_return,large_cap,2101,10,0.29352980195389067,0.29352980195389067,0.5012783730530476,0.7933491686460807,0.29931633043771366,0.9
current_cap_valuation,raw_return,large_cap,2101,10,0.2853578194089599,0.2853578194089599,0.4939479899972724,0.7767220902612827,0.26101162018419316,0.9
baseline_no_valuation,raw_return,large_cap,2101,10,0.24994438592029514,0.24994438592029514,0.4630770169954493,0.7672209026128266,0.2012802723906252,0.9
hist_cap_valuation,raw_return,large_cap,2101,10,0.24491851456587108,0.24491851456587108,0.4578548366603979,0.7838479809976246,0.21711025811925336,0.9
hist_cap_valuation_sector_excess,sector_excess_return,large_cap,2076,10,0.2385252049858564,0.04225162030004182,0.43028377317117783,0.7764423076923077,0.2042990232948508,0.8
hist_and_current_valuation,raw_return,mid_cap,2302,10,0.2724107470422056,0.2724107470422056,0.3362582633106717,0.7505422993492408,0.17514255998506062,1.0
current_cap_valuation,raw_return,mid_cap,2302,10,0.24445891884920895,0.24445891884920895,0.2799881737137464,0.7158351409978309,0.13478491158164047,0.8
hist_cap_valuation,raw_return,mid_cap,2302,10,0.2029977257437696,0.2029977257437696,0.2742912003714715,0.7136659436008677,0.09434424721440768,0.5
baseline_no_valuation,raw_return,mid_cap,2302,10,0.19530557283761876,0.19530557283761876,0.2582172698958319,0.7093275488069414,0.0740534444076687,0.5
hist_cap_valuation_sector_excess,sector_excess_return,mid_cap,2284,10,0.1186779748302487,0.08317442905960225,0.19993993201139548,0.6761487964989059,0.06607852414439375,0.6
