symbol,quantity,price,current_weight,current_value,target_weight,target_value,latest_price,delta_value,order_shares_estimate,action
FIVE,0.0,230.5200042724609,0.0,0.0,0.0559939980543462,5599.399805434621,230.5200042724609,5599.399805434621,24.290298896647876,BUY
CSX,0.0,45.09000015258789,0.0,0.0,0.0559939980543462,5599.399805434621,45.09000015258789,5599.399805434621,124.1827408845828,BUY
JNJ,0.0,227.19000244140625,0.0,0.0,0.0559939980543462,5599.399805434621,227.19000244140625,5599.399805434621,24.646330143329006,BUY
MRK,0.0,112.16000366210938,0.0,0.0,0.0559939980543462,5599.399805434621,112.16000366210938,5599.399805434621,49.92332045836271,BUY
XLK,0.0,161.8699951171875,0.0,0.0,0.0559939980543462,5599.399805434621,161.8699951171875,5599.399805434621,34.591956349790934,BUY
ROST,0.0,228.83999633789065,0.0,0.0,0.0559939980543462,5599.399805434621,228.83999633789065,5599.399805434621,24.468623907714548,BUY
APD,0.0,301.07000732421875,0.0,0.0,0.0549085889849462,5490.858898494627,301.07000732421875,5490.858898494627,18.237814345224983,BUY
GOOGL,0.0,385.6900024414063,0.0,0.0,0.0527963858956934,5279.638589569348,385.6900024414063,5279.638589569348,13.688813700509197,BUY
WMT,0.0,131.60000610351562,0.0,0.0,0.0502483421020818,5024.83421020819,131.60000610351562,5024.83421020819,38.182629005774444,BUY
BMY,0.0,58.220001220703125,0.0,0.0,0.0496715909833359,4967.15909833359,58.220001220703125,4967.15909833359,85.31705589465464,BUY
KO,0.0,78.58000183105469,0.0,0.0,0.0478550739082032,4785.5073908203285,78.58000183105469,4785.5073908203285,60.899812666192936,BUY
XOM,0.0,152.75,0.0,0.0,0.0472796705541335,4727.9670554133545,152.75,4727.9670554133545,30.952321148368934,BUY
CVX,0.0,190.6300048828125,0.0,0.0,0.0466942808015436,4669.4280801543655,190.6300048828125,4669.4280801543655,24.494717308667333,BUY
CAT,0.0,889.6699829101562,0.0,0.0,0.0458174938683973,4581.749386839734,889.6699829101562,4581.749386839734,5.1499426471067355,BUY
COP,0.0,123.19000244140624,0.0,0.0,0.0449319944752815,4493.199447528153,123.19000244140624,4493.199447528153,36.47373454404538,BUY
CB,0.0,326.2200012207031,0.0,0.0,0.0438571137679683,4385.711376796838,326.2200012207031,4385.711376796838,13.444029674408892,BUY
MU,0.0,542.2100219726562,0.0,0.0,0.0435477737265585,4354.777372655859,542.2100219726562,4354.777372655859,8.031532425041512,BUY
LIN,0.0,507.9200134277344,0.0,0.0,0.0428716448440792,4287.164484407928,507.9200134277344,4287.164484407928,8.440629175991104,BUY
AMAT,0.0,389.0799865722656,0.0,0.0,0.0424214567056243,4242.145670562439,389.0799865722656,4242.145670562439,10.903016903889313,BUY
EQIX,0.0,1085.030029296875,0.0,0.0,0.0421609008826963,4216.090088269638,1085.030029296875,4216.090088269638,3.8856897730303035,BUY
TGT,0.0,128.88999938964844,0.0,0.0,0.0420193192299923,4201.931922999238,128.88999938964844,4201.931922999238,32.60091506631436,BUY
SLB,0.0,56.91999816894531,0.0,0.0,0.0398248064857587,3982.480648575879,56.91999816894531,3982.480648575879,69.96628209219901,BUY
UNP,0.0,266.32000732421875,0.0,0.0,0.0356603173333663,3566.0317333366297,266.32000732421875,3566.0317333366297,13.390025665609615,BUY
PNC,0.0,220.7100067138672,0.0,0.0,0.03560215761743,3560.215761743001,220.7100067138672,3560.215761743001,16.130740127059735,BUY
EOG,0.0,138.9499969482422,0.0,0.0,0.0343336277861663,3433.3627786166303,138.9499969482422,3433.3627786166303,24.709340439176344,BUY
USB,0.0,56.29999923706055,0.0,0.0,0.0342699568418072,3426.9956841807293,56.29999923706055,3426.9956841807293,60.870261645134164,BUY
LRCX,0.0,256.7200012207031,0.0,0.0,0.0323647492386734,3236.47492386734,256.7200012207031,3236.47492386734,12.607022859449625,BUY
TXN,0.0,281.0199890136719,0.0,0.0,0.0296411287959569,2964.112879595697,281.0199890136719,2964.112879595697,10.547694098199862,BUY
SRE,0.0,94.66999816894533,0.0,0.0,0.0292724058137733,2927.2405813773325,94.66999816894533,2927.2405813773325,30.92046728630399,BUY
INTC,0.0,99.62000274658205,0.0,0.0,0.0260265289946826,2602.6528994682644,99.62000274658205,2602.6528994682644,26.125806341212545,BUY
TJX,0.0,156.8300018310547,0.0,0.0,0.0252185165818853,2521.85165818854,156.8300018310547,2521.85165818854,16.0801608668296,BUY
MRNA,0.0,45.369998931884766,0.0,0.0,0.0219972543111456,2199.7254311145625,45.369998931884766,2199.7254311145625,48.48414112632163,BUY
RTX,0.0,173.99000549316406,0.0,0.0,0.0182740362839708,1827.4036283970836,173.99000549316406,1827.4036283970836,10.502922988118883,BUY
MRVL,0.0,164.9499969482422,0.0,0.0,0.017535041511652,1753.504151165209,164.9499969482422,1753.504151165209,10.630519451997452,BUY
APH,0.0,142.3000030517578,0.0,0.0,0.0172570674743196,1725.7067474319608,142.3000030517578,1725.7067474319608,12.127243221521796,BUY
PH,0.0,882.22998046875,0.0,0.0,0.0154557888559007,1545.5788855900778,882.22998046875,1545.5788855900778,1.7519002072100005,BUY
LMT,0.0,512.77001953125,0.0,0.0,0.0149364412260566,1493.644122605665,512.77001953125,1493.644122605665,2.912892848086328,BUY
NEE,0.0,96.9499969482422,0.0,0.0,0.0145262166198658,1452.621661986581,96.9499969482422,1452.621661986581,14.983204824256765,BUY
GS,0.0,923.7100219726562,0.0,0.0,0.0142306414418108,1423.064144181089,923.7100219726562,1423.064144181089,1.5405961939679103,BUY
KLAC,0.0,1726.260009765625,0.0,0.0,0.0138858247459839,1388.5824745983991,1726.260009765625,1388.5824745983991,0.8043877902187675,BUY
C,0.0,127.44000244140624,0.0,0.0,0.0136214324986702,1362.1432498670242,127.44000244140624,1362.1432498670242,10.688506150125853,BUY
AVGO,0.0,421.2799987792969,0.0,0.0,0.0131724158908544,1317.241589085441,421.2799987792969,1317.241589085441,3.126760332563348,BUY
NEM,0.0,108.62000274658205,0.0,0.0,0.0127910318445457,1279.1031844545785,108.62000274658205,1279.1031844545785,11.775945057180806,BUY
MS,0.0,190.1699981689453,0.0,0.0,0.0112565313342305,1125.65313342306,190.1699981689453,1125.65313342306,5.919194111907388,BUY
