symbol,target_weight,as_of,latest_price,target_value
CSX,0.05599399805434621,2026-05-01,45.09000015258789,5599.399805434621
JNJ,0.05599399805434621,2026-05-01,227.19000244140625,5599.399805434621
MRK,0.05599399805434621,2026-05-01,112.16000366210938,5599.399805434621
XLK,0.05599399805434621,2026-05-01,161.8699951171875,5599.399805434621
ROST,0.05599399805434621,2026-05-01,228.83999633789062,5599.399805434621
FIVE,0.05599399805434621,2026-05-01,230.52000427246094,5599.399805434621
APD,0.05490858898494627,2026-05-01,301.07000732421875,5490.858898494627
GOOGL,0.05279638589569347,2026-05-01,385.69000244140625,5279.6385895693475
WMT,0.05024834210208189,2026-05-01,131.60000610351562,5024.83421020819
BMY,0.0496715909833359,2026-05-01,58.220001220703125,4967.15909833359
KO,0.04785507390820329,2026-05-01,78.58000183105469,4785.5073908203285
XOM,0.04727967055413354,2026-05-01,152.75,4727.9670554133545
CVX,0.046694280801543656,2026-05-01,190.6300048828125,4669.4280801543655
CAT,0.04581749386839734,2026-05-01,889.6699829101562,4581.749386839734
COP,0.044931994475281525,2026-05-01,123.19000244140625,4493.199447528153
CB,0.04385711376796838,2026-05-01,326.2200012207031,4385.711376796838
MU,0.04354777372655859,2026-05-01,542.2100219726562,4354.777372655859
LIN,0.04287164484407928,2026-05-01,507.9200134277344,4287.164484407928
AMAT,0.04242145670562439,2026-05-01,389.0799865722656,4242.145670562439
EQIX,0.042160900882696375,2026-05-01,1085.030029296875,4216.090088269638
TGT,0.04201931922999238,2026-05-01,128.88999938964844,4201.931922999238
SLB,0.039824806485758785,2026-05-01,56.91999816894531,3982.4806485758786
UNP,0.0356603173333663,2026-05-01,266.32000732421875,3566.0317333366297
PNC,0.03560215761743001,2026-05-01,220.7100067138672,3560.215761743001
EOG,0.034333627786166304,2026-05-01,138.9499969482422,3433.3627786166303
USB,0.034269956841807295,2026-05-01,56.29999923706055,3426.9956841807293
LRCX,0.0323647492386734,2026-05-01,256.7200012207031,3236.47492386734
TXN,0.029641128795956977,2026-05-01,281.0199890136719,2964.1128795956974
SRE,0.029272405813773324,2026-05-01,94.66999816894531,2927.2405813773325
INTC,0.026026528994682645,2026-05-01,99.62000274658203,2602.6528994682644
TJX,0.025218516581885397,2026-05-01,156.8300018310547,2521.8516581885397
MRNA,0.021997254311145627,2026-05-01,45.369998931884766,2199.7254311145625
RTX,0.018274036283970833,2026-05-01,173.99000549316406,1827.4036283970834
MRVL,0.017535041511652086,2026-05-01,164.9499969482422,1753.5041511652087
APH,0.01725706747431961,2026-05-01,142.3000030517578,1725.7067474319608
PH,0.015455788855900779,2026-05-01,882.22998046875,1545.5788855900778
LMT,0.014936441226056649,2026-05-01,512.77001953125,1493.644122605665
NEE,0.014526216619865811,2026-05-01,96.94999694824219,1452.621661986581
GS,0.014230641441810889,2026-05-01,923.7100219726562,1423.064144181089
KLAC,0.013885824745983991,2026-05-01,1726.260009765625,1388.5824745983991
C,0.013621432498670243,2026-05-01,127.44000244140625,1362.1432498670242
AVGO,0.013172415890854411,2026-05-01,421.2799987792969,1317.241589085441
NEM,0.012791031844545785,2026-05-01,108.62000274658203,1279.1031844545785
MS,0.011256531334230598,2026-05-01,190.1699981689453,1125.65313342306
NVDA,0.011024863630533888,2026-05-01,198.4499969482422,1102.486363053389
ACN,0.006765941431566835,2026-05-01,179.8300018310547,676.5941431566836
ADBE,0.006765941431566835,2026-05-01,250.7100067138672,676.5941431566836
ABT,0.006765941431566835,2026-05-01,89.45999908447266,676.5941431566836
ABBV,0.006765941431566835,2026-05-01,206.60000610351562,676.5941431566836
AON,0.006765941431566835,2026-05-01,311.510009765625,676.5941431566836
AMT,0.006765941431566835,2026-05-01,181.61000061035156,676.5941431566836
AMGN,0.006765941431566835,2026-05-01,329.82000732421875,676.5941431566836
ADSK,0.006765941431566835,2026-05-01,244.35000610351562,676.5941431566836
CROX,0.006765941431566835,2026-05-01,103.87999725341797,676.5941431566836
CRM,0.006765941431566835,2026-05-01,183.82000732421875,676.5941431566836
BX,0.006765941431566835,2026-05-01,126.3499984741211,676.5941431566836
BSX,0.006765941431566835,2026-05-01,56.5,676.5941431566836
BAC,0.006765941431566835,2026-05-01,53.2400016784668,676.5941431566836
AXP,0.006765941431566835,2026-05-01,319.67999267578125,676.5941431566836
CELH,0.006765941431566835,2026-05-01,33.72999954223633,676.5941431566836
CDNS,0.006765941431566835,2026-05-01,340.94000244140625,676.5941431566836
CI,0.006765941431566835,2026-05-01,282.8999938964844,676.5941431566836
CL,0.006765941431566835,2026-05-01,87.26000213623047,676.5941431566836
CME,0.006765941431566835,2026-05-01,289.5400085449219,676.5941431566836
CMG,0.006765941431566835,2026-05-01,32.97999954223633,676.5941431566836
BOOT,0.006765941431566835,2026-05-01,171.47000122070312,676.5941431566836
BA,0.006765941431566835,2026-05-01,227.3800048828125,676.5941431566836
AZO,0.006765941431566835,2026-05-01,3594.080078125,676.5941431566836
BL,0.006765941431566835,2026-05-01,33.90999984741211,676.5941431566836
BLK,0.006765941431566835,2026-05-01,1061.6800537109375,676.5941431566836
SEDG,0.006178349833792878,2026-05-01,42.90999984741211,617.8349833792878
AMD,0.00569778644143045,2026-05-01,360.5400085449219,569.778644143045
RUN,0.0037509257199506694,2026-05-01,13.0600004196167,375.0925719950669
