feature_set,forward_window,regression_bucket,condition,observations,mean_return,median_return,hit_rate,avg_q_yoy_growth,avg_q_qoq_growth,avg_q_operating_margin
quarterly_plus_annual,fwd_1m_return,all,q_yoy_growth_30pct_positive_margin,5,0.14192142328569932,0.0276269773707567,0.6,0.8935271141905055,0.23265305467371808,0.3386497482435318
quarterly_raw,fwd_1m_return,all,q_yoy_growth_30pct_positive_margin,5,0.14192142328569932,0.0276269773707567,0.6,0.8935271141905055,0.23265305467371808,0.3386497482435318
quarterly_raw_delta,fwd_1m_return,all,q_yoy_growth_30pct_positive_margin,5,0.14192142328569932,0.0276269773707567,0.6,0.8935271141905055,0.23265305467371808,0.3386497482435318
quarterly_raw,fwd_1m_return,all,q_yoy_growth_30pct_model_top_half,7,0.07605745716528359,-0.01782546328810375,0.42857142857142855,0.6903188775724376,0.2340180097300976,0.20532383943492605
quarterly_plus_annual,fwd_1m_return,all,q_yoy_growth_30pct,8,0.07000364719096773,0.004900757041326476,0.5,0.6859256347595128,0.21329943687967629,0.19504866995898404
quarterly_raw,fwd_1m_return,all,q_yoy_growth_30pct,8,0.07000364719096773,0.004900757041326476,0.5,0.6859256347595128,0.21329943687967629,0.19504866995898404
quarterly_raw_delta,fwd_1m_return,all,q_yoy_growth_30pct,8,0.07000364719096773,0.004900757041326476,0.5,0.6859256347595128,0.21329943687967629,0.19504866995898404
quarterly_plus_annual,fwd_1m_return,all,annual_growth_30pct_q_positive,7,0.06200115705923094,-0.045327369474168044,0.2857142857142857,0.6545698040487221,0.21937482805639333,0.19191391188547993
quarterly_raw,fwd_1m_return,all,annual_growth_30pct_q_positive,7,0.06200115705923094,-0.045327369474168044,0.2857142857142857,0.6545698040487221,0.21937482805639333,0.19191391188547993
quarterly_raw_delta,fwd_1m_return,all,annual_growth_30pct_q_positive,7,0.06200115705923094,-0.045327369474168044,0.2857142857142857,0.6545698040487221,0.21937482805639333,0.19191391188547993
quarterly_raw_delta,fwd_1m_return,all,model_top_quintile,73,0.010054783140669599,0.01828743207622674,0.5753424657534246,0.12908004829603797,0.19708674242383098,0.1144945911804003
quarterly_plus_annual,fwd_1m_return,all,model_top_quintile,73,0.0029639546263468823,0.014253767365653314,0.5342465753424658,0.14130939953175076,0.20309113195729095,0.11857537543969333
quarterly_raw,fwd_1m_return,all,model_top_quintile,73,-0.002585367699153553,0.009185696660529263,0.5205479452054794,0.18365572127487148,0.21205033570558932,0.09433709044262656
quarterly_raw_delta,fwd_1m_return,all,q_yoy_growth_30pct_model_top_half,5,-0.05672788452331405,-0.11623602042771175,0.2,0.42744320719893114,0.13883182590596532,-0.023633700767093917
quarterly_plus_annual,fwd_1m_return,large_cap,q_yoy_growth_30pct_positive_margin,5,0.14192142328569932,0.0276269773707567,0.6,0.8935271141905055,0.23265305467371808,0.3386497482435318
quarterly_raw,fwd_1m_return,large_cap,q_yoy_growth_30pct_positive_margin,5,0.14192142328569932,0.0276269773707567,0.6,0.8935271141905055,0.23265305467371808,0.3386497482435318
quarterly_raw_delta,fwd_1m_return,large_cap,q_yoy_growth_30pct_positive_margin,5,0.14192142328569932,0.0276269773707567,0.6,0.8935271141905055,0.23265305467371808,0.3386497482435318
quarterly_plus_annual,fwd_1m_return,large_cap,q_yoy_growth_30pct_model_top_half,6,0.11138890835595681,0.03621455381952915,0.5,0.7416188755274643,0.20782986302217596,0.20532383943492605
quarterly_plus_annual,fwd_1m_return,large_cap,q_yoy_growth_30pct,8,0.07000364719096773,0.004900757041326476,0.5,0.6859256347595128,0.21329943687967629,0.19504866995898404
quarterly_raw,fwd_1m_return,large_cap,q_yoy_growth_30pct,8,0.07000364719096773,0.004900757041326476,0.5,0.6859256347595128,0.21329943687967629,0.19504866995898404
quarterly_raw_delta,fwd_1m_return,large_cap,q_yoy_growth_30pct,8,0.07000364719096773,0.004900757041326476,0.5,0.6859256347595128,0.21329943687967629,0.19504866995898404
quarterly_plus_annual,fwd_1m_return,large_cap,model_top_quintile,57,0.020295372854447487,0.011377894235221397,0.5263157894736842,0.47912021003568644,0.08029325010379329,0.2226052988491713
quarterly_raw,fwd_1m_return,large_cap,model_top_quintile,57,0.0036550491009885275,0.008277871860333796,0.5087719298245614,0.15128340904952314,0.04792384760142271,0.18072890526535149
quarterly_raw_delta,fwd_1m_return,large_cap,model_top_quintile,57,-0.006770859525496268,-0.01782546328810375,0.47368421052631576,0.15335420186543008,0.04379966987316446,0.19358620045130243
quarterly_raw,fwd_1m_return,large_cap,q_yoy_growth_30pct_model_top_half,5,-0.03880299964525029,-0.01782546328810375,0.4,0.5611947172394667,0.09459801950680062,0.15384476425458576
