symbol,fiscal_period_end,error,total_revenue,gross_profit,operating_income,net_income,ebitda,research_development,selling_general_admin,operating_cash_flow,capital_expenditure,free_cash_flow,total_assets,total_debt,stockholders_equity,cash,current_assets,current_liabilities,prior_q_revenue,prior_y_revenue,prior_y_growth,q_revenue_growth_qoq,q_revenue_growth_yoy,q_revenue_growth_accel,q_gross_margin,q_operating_margin,q_net_margin,q_ebitda_margin,q_cfo_margin,q_fcf_margin,q_capex_to_revenue,q_rd_to_revenue,q_sga_to_revenue,q_debt_to_assets,q_debt_to_equity,q_cash_to_assets,q_current_ratio,q_asset_turnover,q_gross_margin_qoq_delta,q_operating_margin_qoq_delta,q_net_margin_qoq_delta,q_ebitda_margin_qoq_delta,q_cfo_margin_qoq_delta,q_fcf_margin_qoq_delta,q_capex_to_revenue_qoq_delta,q_rd_to_revenue_qoq_delta,q_sga_to_revenue_qoq_delta,q_debt_to_assets_qoq_delta,q_debt_to_equity_qoq_delta,q_cash_to_assets_qoq_delta,q_current_ratio_qoq_delta,q_asset_turnover_qoq_delta,availability_date,current_market_cap,market_cap_bucket,annual_revenue_growth_yoy,annual_revenue_growth_accel,annual_gross_margin,annual_operating_margin,annual_net_margin,annual_fcf_margin,annual_debt_to_assets,annual_asset_turnover,trade_date,trade_close,reporting_lag_days,fwd_1m_return,fwd_1m_return_end_date,fwd_3m_return,fwd_3m_return_end_date,fwd_6m_return,fwd_6m_return_end_date,fwd_12m_return,fwd_12m_return_end_date
ABBV,2024-12-31,,15102000000.0,10706000000.0,84000000.0,-22000000.0,535000000.0,6774000000.0,3855000000.0,7048000000.0,-291000000.0,6757000000.0,135161000000.0,67144000000.0,3325000000.0,5524000000.0,25582000000.0,38749000000.0,,,0.16595182415922993,,,,0.7089127267911535,0.0055621771950735005,-0.0014567606939478214,0.03542577142100384,0.4666931532247384,0.4474241822275195,0.01926897099721891,0.44854986094557014,0.255264203416766,0.4967705181228313,20.193684210526317,0.0408697775245818,0.6601976825208392,0.11173341422451742,,,,,,,,,,,,,,,2025-02-14,371715538944.0,large_cap,-0.0643538774244668,,0.6241577377664862,0.2491807503958172,0.0895283331492323,0.4061637026400088,0.4408325971895391,0.4032187423447231,2025-02-14,185.0745391845703,45,0.1087778963636461,2025-03-18,-0.037068375952105104,2025-05-16,0.09026629878939363,2025-08-18,0.22565816187506926,2026-02-18
AMD,2024-12-31,,7658000000.0,3882000000.0,1057000000.0,482000000.0,1694000000.0,1712000000.0,792000000.0,1299000000.0,-208000000.0,1091000000.0,69226000000.0,2212000000.0,57568000000.0,3787000000.0,19049000000.0,7281000000.0,,,-0.021490371197320668,,,,0.5069208670671194,0.1380255941499086,0.06294071559153826,0.22120658135283364,0.16962653434317054,0.1424653956646644,0.027161138678506138,0.22355706450770435,0.10342125881431183,0.031953312339294486,0.03842412451361868,0.054704879669488345,2.6162615025408598,0.11062317626325369,,,,,,,,,,,,,,,2025-02-14,691537707008.0,large_cap,-0.0390237701792296,,0.4611992945326278,0.0176807760141093,0.0376543209876543,0.049426807760141,0.0442365765633055,0.334094424394196,2025-02-14,113.0999984741211,45,-0.08479218803955113,2025-03-18,0.03598585101444973,2025-05-16,0.5573828626527506,2025-08-18,0.7694075845896482,2026-02-18
BLK,2024-12-31,,5677000000.0,2796000000.0,2040000000.0,1670000000.0,2469000000.0,,631000000.0,2618000000.0,-90000000.0,2528000000.0,138615000000.0,14222000000.0,47495000000.0,12762000000.0,25114000000.0,1536000000.0,,,0.09718985688697734,,,,0.4925136515765369,0.35934472432622866,0.2941694556984323,0.43491280605953847,0.46115906288532676,0.44530561916505196,0.015853443720274793,0.0,0.11115025541659328,0.1026007286368719,0.2994420465312138,0.09206795801320203,16.350260416666668,0.04095516358258486,,,,,,,,,,,,,,,2025-02-14,167947649024.0,large_cap,-0.0007833044256699,,0.4805420236295425,0.3549470855031076,0.3080799596841928,0.2139537488101237,0.0787429693777341,0.1449464739349571,2025-02-14,949.0731811523438,45,-0.010336718947703827,2025-03-18,0.021760152904107377,2025-05-16,0.17912321301845746,2025-08-18,0.14449869016049588,2026-02-18
BOOT,2024-12-31,,608170000.0,238869000.0,99464000.0,75066000.0,115835000.0,,139405000.0,157145000.0,-42958000.0,114187000.0,2013019000.0,541450000.0,1090572000.0,152914000.0,899380000.0,409050000.0,,,0.02571199000089286,,,,0.39276682506536004,0.1635463768354243,0.1234293043063617,0.1904648371343539,0.25838992386997056,0.18775506848414095,0.07063485538582961,0.0,0.2292204482299357,0.2689741130113526,0.4964825797838199,0.07596252196328003,2.198704314875932,0.3021183605321162,,,,,,,,,,,,,,,2025-02-14,4365484032.0,low_cap,0.005667178446141,-0.1081297758412933,0.3685786939362654,0.1189039771230989,0.0881794879331785,0.0703643471630927,0.273662751701462,0.977378528979967,2025-02-14,137.25999450683594,45,-0.2554276479797445,2025-03-18,0.14170197424904152,2025-05-16,0.21870905925882034,2025-08-18,0.4333382876783216,2026-02-18
BROS,2024-12-31,,342786000.0,87948000.0,15778000.0,3612000.0,39754000.0,,72170000.0,62237000.0,-42769000.0,19468000.0,2501085000.0,942909000.0,537369000.0,293354000.0,357941000.0,203071000.0,,,0.16027262114211482,,,,0.25656823790936617,0.04602871762557397,0.010537186466191735,0.11597323111212243,0.18156225750176494,0.05679345130781304,0.1247688061939519,0.0,0.21053952028379222,0.3769999820078086,1.7546769538250253,0.1172906958380063,1.7626396678994047,0.13705491816551615,,,,,,,,,,,,,,,2025-02-14,8910600192.0,low_cap,0.3068475207439121,,0.2602011232418283,0.047859959245208,0.0017788804029091,-0.0916796441410844,0.3835471454243456,0.547488959813153,2025-02-14,81.97000122070312,45,-0.23130416758345984,2025-03-18,-0.10064657651751141,2025-05-16,-0.20214712026427473,2025-08-18,-0.34829818990593053,2026-02-18
BX,2024-12-31,,2702643000.0,,,703873000.0,,,345382000.0,161405000.0,-11886000.0,149519000.0,43469875000.0,12286698000.0,8212321000.0,1972140000.0,,,,,0.11580527557366493,,,,,,0.2604387630922767,,0.05972116924062853,0.05532325209063868,0.004397917149989843,0.0,0.12779416297306007,0.2826485698429084,1.4961297786581893,0.04536797034728073,,0.06217278057505341,,,,,,,,,,,,,,,2025-02-14,144092463104.0,large_cap,-0.0176629048014814,,,,0.1985085880568585,0.5470054229917897,0.3051535301369927,0.1739160727897689,2025-02-14,157.9491424560547,45,-0.11313977735281999,2025-03-18,-0.10377250128123328,2025-05-16,0.04009484748615044,2025-08-18,-0.1663148447715299,2026-02-18
C,2024-12-31,,19586000000.0,,,2856000000.0,,,7263000000.0,24796000000.0,-1688000000.0,23108000000.0,2352945000000.0,335805000000.0,208598000000.0,276532000000.0,,,,,0.38251888984227667,,,,,,0.14581844174410294,,1.266006331052793,1.1798223220667825,0.08618400898601042,0.0,0.3708261002757071,0.14271689308504873,1.609818886087115,0.11752590902039785,,0.008324036473440731,,,,,,,,,,,,,,,2025-02-14,210502303744.0,large_cap,0.0484693877551021,,,,0.1181713407606607,-1.0244461518760404,0.1343691149556727,0.0323778502168888,2025-02-14,82.07797241210938,45,-0.1700745408772013,2025-03-18,-0.09791391138454997,2025-05-16,0.12986706604236953,2025-08-18,0.4099104081715361,2026-02-18
CAT,2024-12-31,,16215000000.0,5556000000.0,2924000000.0,2791000000.0,3905000000.0,519000000.0,1769000000.0,3393000000.0,-1037000000.0,2356000000.0,87764000000.0,38409000000.0,19491000000.0,6889000000.0,45682000000.0,32272000000.0,,,0.0042887776983560055,,,,0.3426456984273821,0.1803268578476719,0.1721245760098674,0.2408263953129818,0.20925069380203515,0.14529756398396546,0.06395312981806969,0.03200740055504163,0.10909651557200123,0.43763957887060756,1.970601816222872,0.078494599152272,1.4155304908279622,0.18475684791030492,,,,,,,,,,,,,,,2025-02-14,409148456960.0,large_cap,0.1284433001834182,,0.346898300029824,0.1933492394870265,0.1541157172681181,0.1460334029227557,0.4330101970826284,0.7666102702455531,2025-02-14,347.8621520996094,45,-0.04701121974195932,2025-03-18,0.005554294695724105,2025-05-16,0.17781533356253987,2025-08-18,1.1575818815875114,2026-02-18
CVX,2024-12-31,,48334000000.0,13213000000.0,2416000000.0,3239000000.0,10349000000.0,,1585000000.0,8695000000.0,-4338000000.0,4357000000.0,256938000000.0,24541000000.0,152318000000.0,6781000000.0,40911000000.0,38558000000.0,,,0.017236342389716608,,,,0.2733686431911284,0.049985517441138744,0.06701286878801671,0.21411428807878513,0.17989407042661482,0.09014358422642446,0.08975048620019034,0.0,0.0327926511358464,0.09551331449610412,0.16111687390853346,0.026391580848298034,1.0610249494268376,0.18811542084082541,,,,,,,,,,,,,,,2025-02-14,380594323456.0,large_cap,-0.164621134665722,,0.3066887407129037,0.1332009567677096,0.1085200062971972,0.1004504527380112,0.0796385763209393,0.7526334699119374,2025-02-14,148.65045166015625,45,0.03521305167052691,2025-03-18,-0.08523237017288932,2025-05-16,0.01205004415950972,2025-08-18,0.23692860037553043,2026-02-18
ECL,2024-12-31,,4005200000.0,1736100000.0,686100000.0,472900000.0,849000000.0,,1050000000.0,766700000.0,-359700000.0,407000000.0,22387800000.0,8282700000.0,8757300000.0,1256800000.0,6025700000.0,4792800000.0,,,0.15048262548262548,,,,0.4334615000499351,0.17130230700089882,0.1180715070408469,0.21197443323679216,0.19142614601018676,0.10161789673424548,0.08980824927594128,0.0,0.26215919304903623,0.3699648915927425,0.9458052139358021,0.056137717864193894,1.2572400267067267,0.1789010085850329,,,,,,,,,,,,,,,2025-02-14,69689556992.0,large_cap,0.0798150523689367,,0.4024294722001018,0.1373154397462174,0.0895745486351353,0.1068523909609535,0.3997601457435024,0.7012624390065273,2025-02-14,261.34405517578125,45,-0.0392217309249413,2025-03-18,-0.01880957835856889,2025-05-16,0.06327785979040423,2025-08-18,0.15472758223585492,2026-02-18
EXC,2024-12-31,,5471000000.0,2388000000.0,1098000000.0,647000000.0,2077000000.0,,,1426000000.0,-1936000000.0,-510000000.0,107784000000.0,46649000000.0,26921000000.0,357000000.0,8384000000.0,9611000000.0,,,0.16841775129371173,,,,0.4364832754523853,0.20069457137634802,0.11825991592030707,0.37963809175653446,0.2606470480716505,-0.09321878998354963,0.35386583805520017,0.0,0.0,0.4328007867587026,1.7328108168344416,0.003312179915386328,0.8723337842055977,0.050758925257923256,,,,,,,,,,,,,,,2025-02-14,44386770944.0,mid_cap,0.1388510326029981,,0.4108712661665209,0.1847010631932618,0.107147788465964,-0.1244994707046532,0.4320609487904492,0.2133109487904492,2025-02-14,40.99589157104492,45,0.04628482434861936,2025-03-18,0.04778228960045605,2025-05-16,0.05495463916931009,2025-08-18,0.14252755720362864,2026-02-18
FCX,2024-12-31,,5720000000.0,1425000000.0,1243000000.0,274000000.0,1847000000.0,,129000000.0,1436000000.0,-1239000000.0,197000000.0,54848000000.0,9738000000.0,17581000000.0,3923000000.0,13296000000.0,5496000000.0,,,-0.010784134527508704,,,,0.2491258741258741,0.2173076923076923,0.0479020979020979,0.3229020979020979,0.25104895104895103,0.03444055944055944,0.2166083916083916,0.0,0.022552447552447553,0.17754521586931155,0.5538934076559923,0.07152494165694283,2.4192139737991267,0.10428821470245041,,,,,,,,,,,,,,,2025-02-14,90580639744.0,large_cap,0.0032923617208078,,0.313279369940932,0.2723692846204331,0.0808575803981623,0.0199081163859111,0.1876547442197082,0.4352835866377176,2025-02-14,38.84290313720703,45,0.009374183029322802,2025-03-18,-0.03243654709669619,2025-05-16,0.06599168725277282,2025-08-18,0.6067946033335447,2026-02-18
