symbol,fiscal_period_end,total_revenue,error
AAPL,2022-09-30,394328000000.0,
AAPL,2023-09-30,383285000000.0,
AAPL,2024-09-30,391035000000.0,
AAPL,2025-09-30,416161000000.0,
ABBV,2022-12-31,58054000000.0,
ABBV,2023-12-31,54318000000.0,
ABBV,2024-12-31,56334000000.0,
ABBV,2025-12-31,61160000000.0,
ABT,2022-12-31,43653000000.0,
ABT,2023-12-31,40109000000.0,
ABT,2024-12-31,41950000000.0,
ABT,2025-12-31,44328000000.0,
ACN,2022-08-31,61594305000.0,
ACN,2023-08-31,64111745000.0,
ACN,2024-08-31,64896464000.0,
ACN,2025-08-31,69672977000.0,
ADBE,2022-11-30,17606000000.0,
ADBE,2023-11-30,19409000000.0,
ADBE,2024-11-30,21505000000.0,
ADBE,2025-11-30,23769000000.0,
ADSK,2023-01-31,5005000000.0,
ADSK,2024-01-31,5497000000.0,
ADSK,2025-01-31,6131000000.0,
ADSK,2026-01-31,7206000000.0,
AEP,2022-12-31,19639500000.0,
AEP,2023-12-31,18982000000.0,
AEP,2024-12-31,19721000000.0,
AEP,2025-12-31,21876000000.0,
AI,2022-04-30,252759000.0,
AI,2023-04-30,266795000.0,
AI,2024-04-30,310582000.0,
AI,2025-04-30,389056000.0,
AMAT,2022-10-31,25785000000.0,
AMAT,2023-10-31,26517000000.0,
AMAT,2024-10-31,27176000000.0,
AMAT,2025-10-31,28368000000.0,
AMD,2022-12-31,23601000000.0,
AMD,2023-12-31,22680000000.0,
AMD,2024-12-31,25785000000.0,
AMD,2025-12-31,34639000000.0,
AMGN,2022-12-31,26323000000.0,
AMGN,2023-12-31,28190000000.0,
AMGN,2024-12-31,33424000000.0,
AMGN,2025-12-31,36751000000.0,
AMT,2022-12-31,9645400000.0,
AMT,2023-12-31,10012200000.0,
AMT,2024-12-31,10127200000.0,
AMT,2025-12-31,10644600000.0,
AMZN,2022-12-31,513983000000.0,
AMZN,2023-12-31,574785000000.0,
AMZN,2024-12-31,637959000000.0,
AMZN,2025-12-31,716924000000.0,
ANET,2022-12-31,4381310000.0,
ANET,2023-12-31,5860200000.0,
ANET,2024-12-31,7003100000.0,
ANET,2025-12-31,9005700000.0,
AON,2022-12-31,12479000000.0,
AON,2023-12-31,13376000000.0,
AON,2024-12-31,15698000000.0,
AON,2025-12-31,17181000000.0,
