growth_decile,observations,min_growth,max_growth,avg_growth,fwd_3m_return_mean,fwd_3m_return_median,fwd_6m_return_mean,fwd_6m_return_median,fwd_12m_return_mean,fwd_12m_return_median
1,54,-0.6971451301650782,-0.03347844904401842,-0.1728518775267428,-7.25489358964886e-05,0.02561484061524999,0.255148515016517,0.07471242467012384,0.23857730496604956,0.09187984005796501
2,53,-0.032544516249012,0.0032923617208078237,-0.014254408428851678,-0.01324000829697541,-0.040593736684256476,0.06289734056280555,0.03538599565099121,0.08740542391922151,0.07710296630614888
3,53,0.0041871194148965785,0.02902617801047125,0.016721328345841176,0.039574169773519935,0.015634939926447267,0.10843088666754408,0.049537261584901016,0.12571479516340073,0.08322553735098359
4,53,0.029722769277382266,0.05628966679888925,0.04292216026027452,0.023386028611939138,0.009529134844614817,0.07148354072771385,0.07833218380680163,0.18379617963414988,0.16630817599835757
5,53,0.0563743085173769,0.07861139242607873,0.06749928237003536,0.02833794120079242,0.004224314644547089,0.10472578513376261,0.06679347700888694,0.13976184435534164,0.1129830914458052
6,53,0.07878806131976024,0.10508694727177037,0.09223154789875826,0.06229951125693062,0.06806885096613025,0.12062065354755072,0.0746635189339856,0.18635910363383185,0.13234709156848168
7,53,0.10527784236224136,0.13690476190476186,0.11943681242186363,0.021188408410469244,0.004083159568846195,0.045523235308229076,0.03571719460799172,0.08477853876535643,0.08024299470450913
8,53,0.1372490970454141,0.17955928945213762,0.15609975881309351,0.021335822988577335,0.009001639436554854,0.06425720835969474,0.06346007407184517,0.06758940783348033,0.026606582630734343
9,53,0.17963573938467325,0.2705862336576921,0.2208564836331753,0.11008815262976714,0.1379089695727025,0.13677506417347843,0.15076656438950176,0.0973082745619853,0.07243908583096381
10,53,0.2767536858183308,1.5737153408698852,0.478004726898005,0.12169906551806964,0.07543636839491208,0.17514428394060286,0.11770899599914442,0.13647806762733505,0.08028354999273923
