symbol,fiscal_period_end,total_revenue,error,prior_revenue,revenue_growth_yoy,availability_date,trade_date,trade_close,reporting_lag_days,fwd_3m_return,fwd_3m_return_end_date,fwd_6m_return,fwd_6m_return_end_date,fwd_12m_return,fwd_12m_return_end_date
BOOT,2023-03-31,1657615000.0,,1488256000.0,0.11379695428743442,2023-06-29,2023-06-29,85.0,90,-0.03200001436121325,2023-09-28,-0.09129414277918202,2023-12-28,0.5309412339154411,2024-07-01
AI,2023-04-30,266795000.0,,252759000.0,0.05553115813878051,2023-07-29,2023-07-31,42.0,90,-0.4083333242507208,2023-10-27,-0.3921428407941546,2024-01-30,-0.36309523809523814,2024-07-31
MDT,2023-04-30,31227000000.0,,31686000000.0,-0.014485892823328905,2023-07-29,2023-07-31,80.23778533935547,90,-0.2021083725312537,2023-10-27,0.007834132537004379,2024-01-30,-0.053168002402222636,2024-07-31
NKE,2023-05-31,51217000000.0,,46710000000.0,0.09648897452365657,2023-08-29,2023-08-29,96.46327209472656,90,0.07217023207093787,2023-11-28,0.028099279052209214,2024-02-29,-0.170200355372514,2024-08-29
ORCL,2023-05-31,49954000000.0,,42440000000.0,0.17704995287464653,2023-08-29,2023-08-29,116.87008666992188,90,-0.033026630203318974,2023-11-28,-0.06736025103411614,2024-02-29,0.17135162193221798,2024-08-29
BILL,2023-06-30,1058468000.0,,641959000.0,0.6488093476374659,2023-09-28,2023-09-28,104.26000213623047,90,-0.20074812848965584,2023-12-28,-0.3813543192170511,2024-04-01,-0.4939574406243078,2024-09-30
EL,2023-06-30,15910000000.0,,17737000000.0,-0.10300501775948578,2023-09-28,2023-09-28,135.3203887939453,90,0.04492263899615234,2023-12-28,0.08145544885033384,2024-04-01,-0.28175111804813446,2024-09-30
KLAC,2023-06-30,10496056000.0,,9211883000.0,0.1394039633373545,2023-09-28,2023-09-28,448.3867492675781,90,0.28333665810529385,2023-12-28,0.5595647019340235,2024-04-01,0.7055116415682117,2024-09-30
LRCX,2023-06-30,17428516000.0,,17227039000.0,0.01169539350320159,2023-09-28,2023-09-28,61.31551742553711,90,0.261828867959333,2023-12-28,0.5721978325186898,2024-04-01,0.3132626102785985,2024-09-30
MSFT,2023-06-30,211915000000.0,,198270000000.0,0.06882029555656421,2023-09-28,2023-09-28,307.7041320800781,90,0.19895934174953922,2023-12-28,0.3589416046992273,2024-04-01,0.38225287317106504,2024-09-30
PG,2023-06-30,82006000000.0,,80187000000.0,0.02268447503959492,2023-09-28,2023-09-28,136.23703002929688,90,0.002116945532417258,2023-12-28,0.11120745752612726,2024-04-01,0.21353115833354797,2024-09-30
PH,2023-06-30,19065000000.0,,15861608000.0,0.20195884301263778,2023-09-28,2023-09-28,381.4530944824219,90,0.18141366963599603,2023-12-28,0.4132168162531886,2024-04-01,0.629752337201902,2024-09-30
TEAM,2023-06-30,3534647000.0,,2802882000.0,0.2610759211411682,2023-09-28,2023-09-28,196.94000244140625,90,0.22484004382233658,2023-12-28,-0.018127385396376705,2024-04-01,-0.19361229008899283,2024-09-30
CSCO,2023-07-31,56998000000.0,,51557000000.0,0.10553368116841555,2023-10-29,2023-10-30,48.168548583984375,90,-0.019382049522708944,2024-01-31,-0.07717395987169184,2024-05-01,0.11304008459268866,2024-10-30
INTU,2023-07-31,14368000000.0,,12726000000.0,0.1290271884331291,2023-10-29,2023-10-30,479.0565490722656,90,0.2969866652651898,2024-01-31,0.2656149856109722,2024-05-01,0.2816881427085771,2024-10-30
