band_type,rsi_band,observations,portion,mean_14d_return,median_14d_return,hit_rate,downside_std,sortino_14d,annualized_like_sortino,p05_return,p95_return
10pt,90-100,14838,0.009179573315021203,0.009030420425357238,0.008822083149041426,0.5863997843375118,0.0387629530692916,0.23296523382041362,0.9883877796907444,-0.08162940693865552,0.09706928900044347
10pt,30-40,221703,0.13715722756841528,0.013052541428122216,0.012031854307450462,0.5834652665954001,0.056244507071685115,0.2320678428470607,0.9845804722349438,-0.10481519610755556,0.13441608924907697
10pt,40-50,315701,0.19530937290237965,0.011377391139558263,0.010515064026932697,0.57502193531221,0.05053853311005256,0.22512309794949706,0.9551164149708763,-0.10204077660664934,0.12638855270928961
10pt,20-30,109863,0.06796707528697767,0.012517456222358512,0.012446848415022194,0.5860025668332378,0.0642533468039448,0.19481407342955726,0.8265261143556836,-0.1128340948101961,0.1369432579679811
10pt,50-60,349184,0.21602373152934118,0.00911886940517277,0.009357375834777804,0.5697196893328446,0.047458830816959986,0.19214273188361042,0.8151925720236574,-0.09934242371272657,0.11601000481796993
10pt,60-70,299460,0.18526182941880642,0.007998608481550219,0.008324817161797782,0.5660388699659387,0.04560991071992679,0.17536996576613903,0.7440317520581375,-0.09547375886269215,0.10914065498357924
10pt,70-80,189265,0.11708936133356843,0.007560050726988736,0.007869112850781956,0.5667450400232479,0.04393572690514512,0.17207068733175807,0.7300340991342976,-0.09153543884612486,0.10439209068655425
10pt,80-90,76707,0.04745501619324245,0.007073353750728516,0.0072991617182429636,0.565554642992165,0.04413543536579449,0.16026473268258395,0.6799456755894265,-0.09044261049806578,0.10104761045225485
10pt,0-10,5102,0.0031563676407358257,0.010391267497417065,0.009980968576499993,0.5633085064680518,0.07473817748936266,0.139035601970573,0.5898781018784752,-0.11536241642166206,0.13549798398419677
10pt,10-20,33824,0.020925319302283137,0.010488579945846765,0.012373741265857663,0.5822788552507095,0.07847468583015003,0.13365558377064626,0.5670526177660238,-0.12529827843767113,0.1394485614109618
