year,rsi_band,observations,portion,mean_14d_return,hit_rate,sortino_14d
2013,30-40,12480,0.10933749189605929,0.02486987336648054,0.6706730769230769,0.7870004412823957
2014,10-20,1993,0.017197935902524896,0.02257536835444602,0.6683391871550427,0.4791946178009372
2015,0-10,419,0.003574170434189201,0.007100086214464974,0.45823389021479716,0.19135176085826808
2016,30-40,15849,0.13373216440390506,0.022205745816532417,0.6277998611899804,0.5448433210592128
2017,0-10,446,0.003732373739487008,0.013794614401659619,0.5515695067264574,0.5542673290616252
2018,0-10,654,0.005447457853001932,0.03476050601619073,0.7232415902140673,0.7025402745058315
2019,0-10,200,0.0016393576996532758,0.053039642483714095,0.675,1.336257933420787
2020,40-50,24749,0.2001747049831361,0.028416524727002773,0.6331164895551336,0.32405197846082867
2021,90-100,904,0.00725358667394165,0.017664182746215982,0.6482300884955752,0.5370886880422977
2022,20-30,11661,0.09349593495934959,0.00321534918874348,0.5153931909784752,0.05695073881397793
2023,90-100,1111,0.008909668313338039,0.024646123482728488,0.6768676867686768,0.7433885175355015
2024,10-20,2973,0.023528201394439653,0.022357151336450352,0.6162125798856374,0.4958586446865417
2025,90-100,1174,0.009336726578654366,0.013515052304151662,0.5528109028960818,0.35243897809658675
2026,0-10,200,0.005087505087505087,0.030090151374450588,0.63,0.6428842257700802
