symbol,fiscal_period_end,error,total_revenue,gross_profit,operating_income,net_income,ebitda,research_development,selling_general_admin,operating_cash_flow,capital_expenditure,free_cash_flow,total_assets,total_debt,stockholders_equity,cash,current_assets,current_liabilities
A,2022-10-31,,6848000000.0,3722000000.0,1618000000.0,1254000000.0,1905000000.0,467000000.0,1637000000.0,1312000000.0,-291000000.0,1021000000.0,10532000000.0,2769000000.0,5305000000.0,1053000000.0,3778000000.0,1861000000.0
A,2023-10-31,,6833000000.0,3465000000.0,1350000000.0,1240000000.0,1705000000.0,481000000.0,1634000000.0,1772000000.0,-298000000.0,1474000000.0,10763000000.0,2735000000.0,5845000000.0,1590000000.0,4186000000.0,1603000000.0
A,2024-10-31,,6510000000.0,3535000000.0,1488000000.0,1289000000.0,1874000000.0,479000000.0,1568000000.0,1751000000.0,-378000000.0,1373000000.0,11846000000.0,3390000000.0,5898000000.0,1329000000.0,3959000000.0,1895000000.0
A,2025-10-31,,6948000000.0,3643000000.0,1479000000.0,1303000000.0,1835000000.0,455000000.0,1709000000.0,1559000000.0,-407000000.0,1152000000.0,12727000000.0,3354000000.0,6741000000.0,1789000000.0,4594000000.0,2347000000.0
AAPL,2021-09-30,,,,,,,,,,,,,,,,,
AAPL,2022-09-30,,394328000000.0,170782000000.0,119437000000.0,99803000000.0,130541000000.0,26251000000.0,25094000000.0,122151000000.0,-10708000000.0,111443000000.0,352755000000.0,132480000000.0,50672000000.0,23646000000.0,135405000000.0,153982000000.0
AAPL,2023-09-30,,383285000000.0,169148000000.0,114301000000.0,96995000000.0,125820000000.0,29915000000.0,24932000000.0,110543000000.0,-10959000000.0,99584000000.0,352583000000.0,111088000000.0,62146000000.0,29965000000.0,143566000000.0,145308000000.0
AAPL,2024-09-30,,391035000000.0,180683000000.0,123216000000.0,93736000000.0,134661000000.0,31370000000.0,26097000000.0,118254000000.0,-9447000000.0,108807000000.0,364980000000.0,106629000000.0,56950000000.0,29943000000.0,152987000000.0,176392000000.0
AAPL,2025-09-30,,416161000000.0,195201000000.0,133050000000.0,112010000000.0,144748000000.0,34550000000.0,27601000000.0,111482000000.0,-12715000000.0,98767000000.0,359241000000.0,98657000000.0,73733000000.0,35934000000.0,147957000000.0,165631000000.0
ABBV,2022-12-31,,58054000000.0,40640000000.0,18814000000.0,11836000000.0,24174000000.0,6510000000.0,15260000000.0,24943000000.0,-695000000.0,24248000000.0,138805000000.0,63271000000.0,17254000000.0,9201000000.0,28463000000.0,29538000000.0
ABBV,2023-12-31,,54318000000.0,33903000000.0,13535000000.0,4863000000.0,17172000000.0,7675000000.0,12872000000.0,22839000000.0,-777000000.0,22062000000.0,134711000000.0,59385000000.0,10360000000.0,12814000000.0,33002000000.0,37841000000.0
ABBV,2024-12-31,,56334000000.0,39430000000.0,11894000000.0,4278000000.0,14910000000.0,12791000000.0,14752000000.0,18806000000.0,-974000000.0,17832000000.0,135161000000.0,67144000000.0,3325000000.0,5524000000.0,25582000000.0,38749000000.0
ABBV,2025-12-31,,61160000000.0,42956000000.0,20091000000.0,4226000000.0,17629000000.0,9096000000.0,14010000000.0,19030000000.0,-1214000000.0,17816000000.0,133960000000.0,67496000000.0,-3270000000.0,5229000000.0,29062000000.0,43289000000.0
ABNB,2021-12-31,,,,,,,,,,-25322000.0,,,,,,,
ABNB,2022-12-31,,8399000000.0,6900000000.0,1891000000.0,1893000000.0,1972000000.0,1502000000.0,2466000000.0,3430000000.0,-25000000.0,3430000000.0,16038000000.0,2341000000.0,5560000000.0,7378000000.0,14861000000.0,7978000000.0
ABNB,2023-12-31,,9917000000.0,8214000000.0,1518000000.0,4792000000.0,1518000000.0,1722000000.0,3788000000.0,3884000000.0,,3884000000.0,20645000000.0,2304000000.0,8165000000.0,6874000000.0,16509000000.0,9950000000.0
ABNB,2024-12-31,,11102000000.0,9224000000.0,2553000000.0,2648000000.0,2553000000.0,2056000000.0,3333000000.0,4518000000.0,,4518000000.0,20959000000.0,2058000000.0,8412000000.0,6864000000.0,17180000000.0,10161000000.0
ABNB,2025-12-31,,12241000000.0,10155000000.0,2544000000.0,2511000000.0,2544000000.0,2354000000.0,3930000000.0,4646000000.0,,4646000000.0,22208000000.0,2067000000.0,8199000000.0,6560000000.0,18797000000.0,13649000000.0
ABT,2021-12-31,,,,,,,,,,,,,,,,,
ABT,2022-12-31,,43653000000.0,24511000000.0,8362000000.0,6933000000.0,12131000000.0,2888000000.0,11248000000.0,9581000000.0,-1777000000.0,7804000000.0,74438000000.0,17716000000.0,36686000000.0,9882000000.0,25224000000.0,15489000000.0
ABT,2023-12-31,,40109000000.0,22134000000.0,6478000000.0,5723000000.0,10544000000.0,2741000000.0,10949000000.0,7261000000.0,-2202000000.0,5059000000.0,73214000000.0,15628000000.0,38603000000.0,6896000000.0,22670000000.0,13841000000.0
ABT,2024-12-31,,41950000000.0,23244000000.0,6825000000.0,13402000000.0,10790000000.0,2844000000.0,11697000000.0,8558000000.0,-2207000000.0,6351000000.0,81414000000.0,15021000000.0,47664000000.0,7616000000.0,23656000000.0,14157000000.0
ABT,2025-12-31,,44328000000.0,25009000000.0,8053000000.0,6524000000.0,12075000000.0,2942000000.0,12332000000.0,9566000000.0,-2171000000.0,7395000000.0,86713000000.0,13860000000.0,52130000000.0,8522000000.0,25996000000.0,16496000000.0
ACGL,2021-12-31,,,,,,,,78000000.0,,,,,,,,,
ACGL,2022-12-31,,9613000000.0,,,1476000000.0,,,95000000.0,3816000000.0,-50000000.0,3766000000.0,47990000000.0,2725000000.0,12910000000.0,855000000.0,,
ACGL,2023-12-31,,13297000000.0,,,4443000000.0,,,102000000.0,5749000000.0,-52000000.0,5697000000.0,58906000000.0,2726000000.0,18353000000.0,917000000.0,,
