symbol,current_market_cap,market_cap_bucket
A,31566675968.0,mid_cap
AAPL,4409585041408.0,large_cap
ABBV,371715538944.0,large_cap
ABNB,78847131648.0,large_cap
ABT,147130957824.0,large_cap
ACGL,32835635200.0,mid_cap
ACN,103897767936.0,large_cap
ADBE,100079919104.0,large_cap
ADI,203820351488.0,large_cap
ADM,38749302784.0,mid_cap
ADP,85735006208.0,large_cap
ADSK,49961189376.0,mid_cap
AEE,29435301888.0,mid_cap
AEP,68094746624.0,large_cap
AES,10319391744.0,mid_cap
AFL,59454525440.0,large_cap
AIG,40353996800.0,mid_cap
AIZ,12615323648.0,mid_cap
AJG,51375550464.0,large_cap
AKAM,21935757312.0,mid_cap
ALB,21273053184.0,mid_cap
ALGN,11261950976.0,mid_cap
ALL,55955587072.0,large_cap
ALLE,10797841408.0,mid_cap
AMAT,346505936896.0,large_cap
AMCR,16963463168.0,mid_cap
AMD,691537707008.0,large_cap
AME,52235362304.0,large_cap
AMGN,176207396864.0,large_cap
AMP,42285793280.0,mid_cap
AMT,79495331840.0,large_cap
AMZN,2841383010304.0,large_cap
ANET,178764283904.0,large_cap
AON,67750879232.0,large_cap
AOS,7719780864.0,low_cap
APA,13778270208.0,mid_cap
APD,65775423488.0,large_cap
APH,153779306496.0,large_cap
APO,78048944128.0,large_cap
APP,168305704960.0,large_cap
APTV,11499459584.0,mid_cap
ARE,7836898304.0,low_cap
ARES,40706371584.0,mid_cap
ATO,29458010112.0,mid_cap
AVB,25157025792.0,mid_cap
AVGO,2013133668352.0,large_cap
AVY,11948563456.0,mid_cap
AWK,24271417344.0,mid_cap
AXON,31586342912.0,mid_cap
AXP,213895708672.0,large_cap
AZO,55024222208.0,large_cap
BA,173812793344.0,large_cap
BAC,353197326336.0,large_cap
BALL,14696807424.0,mid_cap
BAX,8934913024.0,low_cap
BBY,11857925120.0,mid_cap
BDX,39531782144.0,mid_cap
BEN,16540050432.0,mid_cap
BF-B,12100600832.0,mid_cap
