feature_set,forward_window,regression_bucket,condition,observations,mean_return,median_return,hit_rate,avg_growth,avg_trailing_6m
financial_only,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150614
financial_plus_price,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150614
growth_quality_only,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150614
growth_quality_price,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150614
financial_only,fwd_12m_return,all,growth30_model_top_half,14,0.5334819355872459,0.2794853069942372,0.7142857142857143,0.5903561994584345,0.1374872621544408
financial_plus_price,fwd_12m_return,all,model_top_quintile,84,0.505780957721937,0.35761320724679685,0.7619047619047619,0.1864595505784983,0.03618677592631618
financial_plus_price,fwd_12m_return,all,growth30_model_top_half,15,0.4928556050106562,0.2248047594923032,0.6666666666666666,0.5711594438288243,0.12481867717823006
growth_quality_only,fwd_12m_return,all,growth30_model_top_half,15,0.4928556050106562,0.2248047594923032,0.6666666666666666,0.5711594438288243,0.12481867717823006
growth_quality_price,fwd_12m_return,all,growth30_model_top_half,15,0.4928556050106562,0.2248047594923032,0.6666666666666666,0.5711594438288243,0.12481867717823006
financial_only,fwd_12m_return,all,growth30_positive_margin_mom,5,0.38155615734861503,0.4637128525913567,0.8,0.5243257824253493,0.576300892463723
financial_plus_price,fwd_12m_return,all,growth30_positive_margin_mom,5,0.38155615734861503,0.4637128525913567,0.8,0.5243257824253493,0.576300892463723
growth_quality_only,fwd_12m_return,all,growth30_positive_margin_mom,5,0.38155615734861503,0.4637128525913567,0.8,0.5243257824253493,0.576300892463723
growth_quality_price,fwd_12m_return,all,growth30_positive_margin_mom,5,0.38155615734861503,0.4637128525913567,0.8,0.5243257824253493,0.576300892463723
growth_quality_price,fwd_12m_return,all,model_top_quintile,84,0.31590332579257785,0.13818461497145162,0.6309523809523809,0.22121253136611005,0.025538159653340883
growth_quality_only,fwd_12m_return,all,model_top_quintile,84,0.2955093220986658,0.11664015630401775,0.6428571428571429,0.20567872612193225,0.027885058813355817
financial_only,fwd_12m_return,all,model_top_quintile,84,0.25174472848577356,0.09878717819012614,0.6309523809523809,0.19551460490265002,0.03901020276911077
financial_plus_price,fwd_12m_return,large_cap,model_top_quintile,39,0.8116832481207527,0.6118094069437159,0.9230769230769231,0.23729275213050344,0.0702040871769024
growth_quality_price,fwd_12m_return,large_cap,model_top_quintile,39,0.7687853369318842,0.611383493350719,0.8717948717948718,0.23489810043534362,0.03086723823307832
financial_only,fwd_12m_return,large_cap,growth30_positive_margin,10,0.7567585996449262,0.541872748030578,0.9,0.611046378760685,0.15024942753903722
financial_plus_price,fwd_12m_return,large_cap,growth30_positive_margin,10,0.7567585996449262,0.541872748030578,0.9,0.611046378760685,0.15024942753903722
growth_quality_only,fwd_12m_return,large_cap,growth30_positive_margin,10,0.7567585996449262,0.541872748030578,0.9,0.611046378760685,0.15024942753903722
growth_quality_price,fwd_12m_return,large_cap,growth30_positive_margin,10,0.7567585996449262,0.541872748030578,0.9,0.611046378760685,0.15024942753903722
growth_quality_only,fwd_12m_return,large_cap,growth30_model_top_half,8,0.7432611296385023,0.3921544222724943,0.75,0.5570079222954716,0.0756495628241579
financial_only,fwd_12m_return,large_cap,growth30_model_top_half,10,0.718855624194404,0.541872748030578,0.8,0.6348626567605828,0.14675661129986678
financial_plus_price,fwd_12m_return,large_cap,growth30_model_top_half,10,0.718855624194404,0.541872748030578,0.8,0.6348626567605828,0.14675661129986678
growth_quality_price,fwd_12m_return,large_cap,growth30_model_top_half,11,0.6739419092214858,0.4637128525913567,0.8181818181818182,0.6064079729122197,0.12961820668481489
growth_quality_only,fwd_12m_return,large_cap,model_top_quintile,39,0.5666142683735439,0.3107858297861021,0.717948717948718,0.22198334130020766,0.07355432399129955
financial_only,fwd_12m_return,large_cap,model_top_quintile,39,0.5224788040213568,0.3195181396104884,0.7948717948717948,0.2051694883048723,0.07469185497077555
financial_plus_price,fwd_12m_return,mid_cap,model_top_quintile,43,0.06012450457931087,0.0005579239417226,0.5348837209302325,0.09684822941127989,0.03394931056964831
financial_only,fwd_12m_return,mid_cap,model_top_quintile,43,0.0320825355891558,-0.004464986370905,0.4883720930232558,0.08661228605756627,0.0008236270492747367
growth_quality_only,fwd_12m_return,mid_cap,model_top_quintile,43,0.02732316227184466,-0.004464986370905,0.4883720930232558,0.08791349511635395,-0.011079006895371224
growth_quality_price,fwd_12m_return,mid_cap,model_top_quintile,43,-0.04771434623956993,-0.0450239310089537,0.3953488372093023,0.0943685882445993,0.023657964529911906
growth_quality_price,fwd_3m_return,all,growth30_model_top_half,21,0.19650103827200788,0.1474597822954739,0.6190476190476191,0.5164592289640926,0.18628917972227252
financial_plus_price,fwd_3m_return,all,growth30_model_top_half,19,0.17506410139343936,0.1474597822954739,0.5789473684210527,0.5487074528721966,0.11610302717026667
