base,breadth_feature,low_quantile,high_quantile,low_threshold,high_threshold,vol_feature,vol_quantile,vol_threshold,low_scale,high_scale,vol_scale,target_vol,train_objective,train_annual_return,train_sharpe,train_max_drawdown,validation_annual_return,validation_sharpe,validation_max_drawdown,full_annual_return,full_sharpe,full_max_drawdown
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.45,0.7,0.4,2.201476261046543,1.000229202279229,2.287704599771207,-0.2862741791805097,0.5780178761830865,1.411180666242319,-0.3301047305190712,0.7922311251082368,1.8656811229594352,-0.3301047305190713
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.45,0.7,0.35,2.1925041622428356,0.8940020138654401,2.271117286709461,-0.2574135272397131,0.5218545156936785,1.401814198439763,-0.3020367702961856,0.7115174070500199,1.853505696879877,-0.30203677029618514
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.3,0.7,0.35,2.1770230665609125,0.8704605614782812,2.2513371874912833,-0.24840623322602706,0.5045702614503098,1.3839509274636885,-0.2906189250429594,0.6910936796661431,1.835204859598119,-0.29061892504296005
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.45,0.85,0.4,2.1753668452096235,0.9903911353151249,2.261941808287909,-0.2846531901413101,0.5983904466286438,1.419845529051308,-0.3274773050344312,0.798143481463474,1.854857388628988,-0.3274773050344314
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.8,0.18325780869818703,0.7,1.45,0.7,0.35,2.168361108964603,0.882481967450798,2.244509378906861,-0.25264466343241754,0.5181240225781116,1.3690888369063876,-0.304937654457366,0.7039825907016621,1.821888984156132,-0.3049376544573663
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.45,0.7,0.3,2.1677173246398507,0.7741868727415888,2.2370455396839284,-0.2241655895923954,0.4551267670825412,1.3812433085175446,-0.27504818520523466,0.6185495956182299,1.827371099579916,-0.2750481852052349
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.45,0.85,0.35,2.1631362000663428,0.8815900498297138,2.240606452722647,-0.2537882626222472,0.5366475747601225,1.4118405866472037,-0.2996255463292635,0.713144039025458,1.841296035506604,-0.2996255463292631
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.3,0.7,0.3,2.1621399051816255,0.7596490382128749,2.226394777967829,-0.21618468042877814,0.44792135657540455,1.3783960976187464,-0.262276278314978,0.60771530352666,1.8207814632976893,-0.26227627831497813
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.8,0.18325780869818703,0.7,1.45,0.85,0.4,2.161972734137745,0.9843968384838842,2.2477780439048036,-0.2826846774638361,0.5950799731130694,1.4019231887282304,-0.3291110667531182,0.7935111482710906,1.8380099650256452,-0.32911106675311785
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.8,0.18325780869818703,0.7,1.45,0.7,0.4,2.156556024663474,0.9817763841545994,2.24418462701814,-0.283983879185586,0.5737152643307142,1.3757767606590852,-0.33329827288194225,0.7810817026725632,1.8245493365951404,-0.333298272881943
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.3,0.85,0.35,2.1555844973316507,0.8626597814557888,2.2289704045547785,-0.24591786351428524,0.5233364852478051,1.398872515263403,-0.28800124773485447,0.6970174793898738,1.8290961299290338,-0.2880012477348549
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.8,0.18325780869818703,0.7,1.45,0.85,0.35,2.1524873065664436,0.8769835683438594,2.2283911606570688,-0.2513005677593969,0.530783100739249,1.389775289175005,-0.30110830233588237,0.7078640253139266,1.8235445021202181,-0.3011083023358818
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.3,0.7,0.4,2.152391918125973,0.9580210831293106,2.2393783333105617,-0.27859063181045063,0.5609229127371598,1.4010963971458894,-0.3183696153956743,0.7629111087970766,1.8370358030477691,-0.3183696153956742
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.8,0.18325780869818703,0.7,1.45,0.7,0.3,2.147832366999963,0.765043824335871,2.2147441316550243,-0.2199205295222354,0.4424784808815667,1.3275526409628975,-0.2781745378770165,0.6075534468306896,1.7876643836596329,-0.2781745378770172
