model,bucket,observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
dolt_price_only,all,414,1,0.008996538933454978,0.35118442159436136,0.2592204379154686,0.4639949714163617,0.3176692303734347,0.7710843373493976,0.029306505004565508,0.4346884664117962
yahoo_price_only,all,414,1,0.008996538933454978,0.35118442159436136,0.2592204379154686,0.4639949714163617,0.3176692303734347,0.7710843373493976,0.029306505004565508,0.4346884664117962
dolt_financial_plus_price,all,414,1,-0.005364345557246075,0.3151422723082685,0.21616065271719578,0.43201418224321453,0.3183009942115005,0.7831325301204819,0.07004067560011197,0.36197350664310257
yahoo_financial_plus_price,all,414,1,-0.009387887927684968,0.3034436419943018,0.18041949881851865,0.4630596378678335,0.3176692303734347,0.7831325301204819,0.07929493877266236,0.38376469909517114
dolt_financial_only,all,414,1,-0.01492003995572655,0.11473925753214671,0.08219948251578729,0.2924726695206039,0.1614716383114296,0.6626506024096386,0.11481162094360525,0.17766104857699866
yahoo_financial_only,all,414,1,-0.019562881553089273,0.09091681118222626,0.04196358196079751,0.2679934854208465,0.1572536844663661,0.6626506024096386,0.13678988933280323,0.13120359608804327
dolt_price_only,large_cap,189,1,0.1907847776002165,0.5087095892034191,0.39538207220178107,0.7337540194898751,0.5520328175966505,0.868421052631579,0.039579537312847066,0.694174482177028
yahoo_price_only,large_cap,189,1,0.1907847776002165,0.5087095892034191,0.39538207220178107,0.7337540194898751,0.5520328175966505,0.868421052631579,0.039579537312847066,0.694174482177028
dolt_financial_plus_price,large_cap,189,1,0.21696445830567113,0.5075694465428813,0.37895981087470454,0.8253779508797742,0.6159210252067576,0.9210526315789473,0.12918368099769184,0.6961942698820823
yahoo_financial_plus_price,large_cap,189,1,0.2106898942729738,0.5083739324893325,0.3773742867807817,0.7956254521824614,0.6115964501472174,0.868421052631579,0.1194771517546422,0.6761483004278191
yahoo_financial_only,large_cap,189,1,0.05137518538301311,0.23144480780019996,0.18321254519836203,0.5889297641577681,0.3919557890215061,0.7631578947368421,0.15134710160151854,0.43758266255624956
dolt_financial_only,large_cap,189,1,0.0514447547563609,0.22914609517102852,0.17765787592114834,0.5118124774405418,0.3919557890215061,0.7631578947368421,0.1988909054184501,0.3129215720220917
dolt_financial_plus_price,mid_cap,209,1,-0.26890573983427046,-0.11201235147667923,-0.04680976917819023,0.03899995491207031,-0.00217568536275675,0.5,0.2867909880164089,-0.2477910331043386
dolt_price_only,mid_cap,209,1,-0.24516059960935888,-0.03405918132078349,-0.08739287028760713,0.08547718472399982,-0.00330807503899985,0.5,0.0742380660344033,0.011239118689596511
yahoo_price_only,mid_cap,209,1,-0.24516059960935888,-0.03405918132078349,-0.08739287028760713,0.08547718472399982,-0.00330807503899985,0.5,0.0742380660344033,0.011239118689596511
dolt_financial_only,mid_cap,209,1,-0.22788539855865464,-0.16783529242335044,-0.104832010095168,0.05578819198606437,-0.00217568536275675,0.5,0.20931053910470068,-0.15352234711863633
yahoo_financial_plus_price,mid_cap,209,1,-0.2533335090430009,-0.144385333156932,-0.11729454755770546,0.02237226411531789,-0.00428439310324425,0.5,0.27598098134041726,-0.25360871722509937
yahoo_financial_only,mid_cap,209,1,-0.2208411077191328,-0.21131744253128817,-0.19688995215311006,0.029112907946489876,-0.0065736941113925,0.47619047619047616,0.22036560519841686,-0.19125269725192698
