state,rank,date,distance_to_centroid
0,1,2020-12-16,4.236732286168958
0,2,2020-12-17,4.271966695256057
0,3,2024-10-03,4.348758662589323
0,4,2018-05-18,4.394058221375076
0,5,2015-11-13,4.411070285484631
1,1,2013-12-18,3.8856562928123894
1,2,2013-12-20,3.975177790218171
1,3,2013-12-23,4.007303024709416
1,4,2013-12-19,4.009744159728365
1,5,2024-01-22,4.09430979937763
2,1,2020-06-02,8.208364827913618
2,2,2020-06-04,8.21552729803139
2,3,2020-06-03,8.381630459847893
2,4,2020-06-05,8.397290995440429
2,5,2020-06-08,8.58327306339824
