state,rank,date,distance_to_centroid
0,1,2025-02-19,4.365185037243316
0,2,2023-07-25,4.403746795498268
0,3,2023-08-25,4.409895019179974
0,4,2025-02-19,4.410518554515361
0,5,2025-02-19,4.5055838778047015
1,1,2025-04-23,7.131844200915087
1,2,2025-04-22,7.261161468830703
1,3,2025-04-22,7.262379212740172
1,4,2025-04-22,7.263124325660851
1,5,2025-04-22,7.272197890877088
2,1,2024-11-08,3.9091096015528666
2,2,2024-11-07,3.9700775049894914
2,3,2024-11-08,3.9824133112555815
2,4,2024-11-07,4.105371873717546
2,5,2024-11-07,4.285698350112936
3,1,2025-05-23,6.065705857231624
3,2,2025-05-22,6.079129573542524
3,3,2025-05-22,6.091250151785761
3,4,2024-08-12,6.12175975839456
3,5,2024-08-12,6.1358948161943045
4,1,2023-08-21,4.0550039577577355
4,2,2023-08-21,4.283712848172518
4,3,2023-07-05,4.357297810105094
4,4,2023-07-10,4.4596920411958685
4,5,2023-09-28,4.531509666548627
