state,dwell_len
4,23
0,2
4,2
0,96
4,1
0,2
4,1
0,1
4,78
0,84
2,59
4,26
0,69
4,315
0,200
4,18
0,121
4,64
0,9
4,2
0,5
4,46
0,9
4,5
0,1
4,26
0,179
2,10
0,50
2,26
4,103
0,18
2,61
0,24
4,119
0,78
2,17
0,6
2,83
3,147
0,77
4,30
0,168
4,19
2,57
0,116
2,44
0,8
2,98
4,47
0,132
2,85
3,126
4,7
3,26
1,129
3,57
0,18
3,15
0,139
4,20
0,69
2,2
0,4
4,2
0,76
4,6
3,16
2,31
3,14
0,215
4,74
3,2
2,1
3,2
2,1
3,2
2,7
3,1
2,84
0,11
3,2
0,12
3,5
0,1
3,2
0,1
3,1
0,5
3,2
0,27
4,30
2,8
3,22
2,1
0,50
2,1
0,1
2,1
0,2
2,30
0,34
4,19
0,91
4,12
2,33
0,2
2,1
0,2
3,2
0,31
2,6
0,48
4,1
0,29
4,5
0,2
4,5
0,3
4,1
0,12
4,18
0,22
3,1
0,1
3,1
0,12
3,2
0,7
3,1
0,33
4,14
0,1
4,6
3,1
0,1
4,16
0,1
4,1
0,1
4,40
