prev_state,current_state,p_to_0,p_to_1,p_to_2,p_to_3,p_to_4
0,0,0.9823008849557522,0.0006807351940095302,0.0068073519400953025,0.0013614703880190605,0.008849557522123894
0,1,0.2,0.2,0.2,0.2,0.2
0,2,0.07142857142857142,0.07142857142857142,0.7142857142857143,0.07142857142857142,0.07142857142857142
0,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666
0,4,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.6842105263157895
1,0,0.2,0.2,0.2,0.2,0.2
1,1,0.007518796992481203,0.9624060150375939,0.007518796992481203,0.015037593984962405,0.007518796992481203
1,2,0.2,0.2,0.2,0.2,0.2
1,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666
1,4,0.2,0.2,0.2,0.2,0.2
2,0,0.6,0.1,0.1,0.1,0.1
2,1,0.2,0.2,0.2,0.2,0.2
2,2,0.011214953271028037,0.001869158878504673,0.9738317757009346,0.005607476635514018,0.007476635514018692
2,3,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285
2,4,0.125,0.125,0.125,0.125,0.5
3,0,0.5,0.125,0.125,0.125,0.125
3,1,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
3,2,0.2,0.2,0.2,0.2,0.2
3,3,0.01078167115902965,0.005390835579514825,0.0026954177897574125,0.9757412398921833,0.005390835579514825
3,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
4,0,0.7272727272727273,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.13636363636363635
4,1,0.2,0.2,0.2,0.2,0.2
4,2,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
4,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666
4,4,0.017429193899782137,0.0010893246187363835,0.002178649237472767,0.002178649237472767,0.9771241830065359
